origin,destination,count
2215,2215,1752.24042814
2236,2215,1628.9301398
2199,2215,1428.35120654
2264,2215,1115.05479944
2254,2215,862.8832335
2283,2215,848.8832334
2239,2215,833.73044814
2258,2215,743.06378154
2213,2215,672.5159681
2157,2215,650.5499002
2202,2215,643.50998
2252,2215,636.256487
2510,2215,627.5838324
2129,2215,523.56868088
2265,2215,514.43404104
2247,2215,501.82435119999997
2173,2215,493.3892215
2086,2215,490.7504989
2249,2215,435.1237523
2292,2215,431.6207585
2270,2215,403.287425
2282,2215,402.7255488
2028,2215,386.2904191
2156,2215,385.9261477
2253,2215,383.8612773
2121,2215,380.32925064
2269,2215,377.49891114
2160,2215,354.6946107
2166,2215,351.16857194
2153,2215,349.5898204
2250,2215,326.7255489
2061,2215,323.9540918
2272,2215,323.5279441
2512,2215,322.6237525
2163,2215,308.1207585
2172,2215,300.2285428
2009,2215,295.78443120000003
2127,2215,284.262475
1923,2215,282.9291417
2113,2215,275.9570858
2227,2215,271.8213573
2257,2215,268.1946107
2137,2215,263.63463984
2170,2215,261.5868263
3325,2215,256.1237525
2228,2215,246.991018
2149,2215,238.3922155
2284,2215,236.02495009999998
2142,2215,232.6207585
2305,2215,225.759481
2248,2215,222.24732358
2218,2215,219.6297405
2311,2215,216.89221560000001
2198,2215,215.5928144
2544,2215,214.0279441
2058,2215,209.1237525
2069,2215,209.0189621
2242,2215,208.2964072
3153,2215,208.0958084
2759,2215,207.7225549
1966,2215,207.1886227
1981,2215,205.1267465
2043,2215,204.9261477
2049,2215,198.4231537
2547,2215,196.4291417
2589,2215,193.8273453
2357,2215,188.4910179
2144,2215,184.0249501
2266,2215,182.8642714
1942,2215,175.8952096
4330,2215,175.8273453
2286,2215,175.527944
1877,2215,171.1916168
2823,2215,168.7934132
2200,2215,168.5958084
2027,2215,166.4261477
2039,2215,161.6267465
2162,2215,159.262475
4019,2215,154.4261477
2122,2215,153.4231537
1687,2215,153.0249501
2099,2215,152.7964072
2289,2215,151.5958083
2016,2215,151.0588822
2204,2215,150.2285429
2167,2215,148.39221560000001
3190,2215,146.9660678
2222,2215,146.1916168
2303,2215,144.7934131
1792,2215,143.89221560000001
2030,2215,142.2904192
2091,2215,138.494012
3176,2215,137.2285429
1860,2215,137.1916168
2188,2215,135.37216474
2120,2215,134.7964072
1918,2215,134.1976048
2445,2215,132.494012
1969,2215,131.494012
2285,2215,130.9261477
2342,2215,130.3982036
2155,2215,129.8982036
2070,2215,129.4291417
2076,2215,129.1946108
2131,2215,128.2934132
2034,2215,127.6976048
2300,2215,126.0958084
2087,2215,125.491018
2564,2215,124.5958084
3151,2215,124.497006
1806,2215,124.2964072
2119,2215,123.8273453
1650,2215,122.994012
2152,2215,121.11458908
2084,2215,120.259481
3413,2215,120.0309381
2647,2215,119.5958084
3127,2215,119.1946108
2315,2215,118.1576846
1963,2215,117.997006
2765,2215,117.8642714
2161,2215,117.6916168
2074,2215,115.7934132
2380,2215,114.5309381
1686,2215,114.494012
2627,2215,114.1636726
2302,2215,114.1267465
1989,2215,114.0958084
2062,2215,112.7994012
3445,2215,112.7315369
1741,2215,112.5958084
2075,2215,112.4630738
2319,2215,111.997006
3094,2215,111.7964072
2618,2215,111.3982036
2046,2215,111.0928144
2356,2215,108.7964072
2135,2215,108.3303393
2473,2215,108.0958084
2817,2215,107.0958084
3023,2215,106.994012
2111,2215,106.8952096
2364,2215,106.5928144
2960,2215,105.8952096
1853,2215,105.7934132
2423,2215,105.765469
2246,2215,105.7315369
3776,2215,105.4291417
2056,2215,105.3952096
2134,2215,104.2964072
2132,2215,104.2934132
2225,2215,104.1976048
2040,2215,103.5279441
2201,2215,102.5988024
2019,2215,101.6297405
2524,2215,101.0958084
1890,2215,100.7285429
1785,2215,100.6976048
2143,2215,99.497006
2194,2215,99.4291417
2610,2215,98.997006
1661,2215,98.997006
2054,2215,98.2964072
2621,2215,98.1297405
1900,2215,97.6946108
1889,2215,96.9660678
2083,2215,96.8982036
1976,2215,96.8982036
2387,2215,96.3952096
2220,2215,95.7964072
1869,2215,95.3952096
1845,2215,95.2964072
4341,2215,94.497006
2095,2215,94.494012
2100,2215,93.5958084
1954,2215,93.0309381
1683,2215,92.997006
1866,2215,92.6976048
2688,2215,92.0988024
1987,2215,91.997006
3563,2215,91.1946108
1994,2215,90.497006
3518,2215,90.3982036
1910,2215,90.3922156
2639,2215,90.1976048
1799,2215,90.1946108
1391,2215,89.997006
1793,2215,89.2994012
2123,2215,89.2964072
1903,2215,89.1976048
2185,2215,88.2315369
1876,2215,88.1946108
1847,2215,88.1606786
1995,2215,88.1297405
2007,2215,88.0928144
1904,2215,88.0309381
1902,2215,87.8982036
1921,2215,86.997006
2042,2215,86.997006
1822,2215,86.8952096
2800,2215,86.762475
1533,2215,86.3982036
2067,2215,86.2994012
1702,2215,85.8273453
143,2215,85.6976048
1956,2215,85.1636726
2148,2215,84.994012
3181,2215,84.3982036
2533,2215,84.3642714
2407,2215,84.2964072
2050,2215,83.8952096
2308,2215,83.7964072
2329,2215,83.5309381
2757,2215,83.5
3635,2215,83.497006
3366,2215,83.497006
2268,2215,82.997006
2952,2215,82.8982036
1814,2215,81.7964072
2734,2215,81.3952096
1855,2215,81.2994012
1398,2215,81.2964072
1846,2215,81.0928144
2593,2215,80.997006
2051,2215,80.497006
1820,2215,80.1976048
1859,2215,80.1946108
1728,2215,79.5958084
3959,2215,79.2964072
2570,2215,79.1976048
1878,2215,79.0309381
3059,2215,78.997006
2013,2215,78.8952096
1872,2215,78.8952096
1943,2215,78.8952096
3253,2215,78.7994012
2210,2215,78.7964072
3390,2215,78.6976048
3446,2215,78.3982036
2576,2215,78.2315369
2331,2215,78.1297405
1775,2215,77.8982036
3173,2215,77.497006
3515,2215,77.0
3403,2215,76.8982036
1986,2215,76.7934132
2195,2215,76.5958084
3220,2215,76.497006
2798,2215,76.0309381
2001,2215,75.997006
3169,2215,75.7994012
2411,2215,75.6976048
2275,2215,75.6666666
3401,2215,74.3982036
