homeCity,vmt_per_capita_by_city
Carlsbad,19.9
Chula Vista,15.2
Coronado,15.8
Del Mar,22.2
El Cajon,14.6
Encinitas,20.2
Escondido,15.3
Imperial Beach,14.9
La Mesa,16.4
Lemon Grove,15.3
National City,11.8
Oceanside,17.1
Poway,20.6
San Diego,16.2
San Marcos,16.2
Santee,19.5
Solana Beach,22.0
Unincorporated,25.5
Vista,15.3
