tripPurposeDestination,purpose_counts,purpose_share
Dining,733504.0,5.8
Discretionary,694452.8,5.5
Escort,1560713.9,12.3
Home,3437148.1,27.0
Maintenance,803115.8,6.3
Other,1575979.6,12.4
School,436902.5,3.4
Service,698013.0,5.5
Shop,1301706.2,10.2
Work,1482673.4,11.7
