origin,destination,count
Carlsbad,San Diego,3280.1457089
Chula Vista,San Diego,2673.9261481
Coronado,San Diego,315.7904192
Del Mar,San Diego,540.9510978
El Cajon,San Diego,1219.0139722
Encinitas,San Diego,2999.4950104
Escondido,San Diego,1997.0988027
Imperial Beach,San Diego,232.6946108
La Mesa,San Diego,1070.8223554
Lemon Grove,San Diego,299.9231537
National City,San Diego,886.8872257
Oceanside,San Diego,2112.4321361
Poway,San Diego,1550.8632736
San Diego,San Diego,80920.99746018
San Marcos,San Diego,1235.9740520999999
Santee,San Diego,1250.9371259
Solana Beach,San Diego,1160.5938125
Unincorporated,San Diego,5291.4481045
Vista,San Diego,899.6586828
