tripMode,Employment Center,Mobility Hub,Region
SOV,75.9,47.4,57.6
HOV,8.3,20.5,22.5
Transit,6.7,6.8,3.1
Truck,,,3.1
Non-Motorized,8.5,21.8,11.2
Other,0.6,3.5,2.4
