model,person_trips,vehicle_trips
airportCBX,5316.0,2480.0
airportSAN,58240.0,36104.0
commercialVehicle,1386900.0,1386900.0
crossBorder,461241.0,325854.50578272
externalExternal,23192.824442664,13095.8918536278
externalInternal,261595.73427236525,162993.80683048713
individual,12923644.0,9910785.06747264
internalExternal,152590.0,122497.748564
joint,1355751.0,568047.0023726299
truck,28975.230849487023,28975.230849487023
visitor,633891.0,166476.0
