TAZ,vmt_per_capita_by_taz
13,5.5
14,70.4
15,31.3
16,48.7
17,35.5
18,38.4
19,37.9
20,34.7
21,37.6
22,43.2
23,52.0
25,72.5
27,81.1
28,67.2
29,75.6
30,29.6
31,52.5
32,39.8
33,30.9
34,22.4
35,32.5
36,36.5
37,34.0
38,19.6
39,25.0
40,33.7
41,31.7
42,47.5
44,24.7
45,18.1
46,26.6
47,36.5
48,16.9
49,15.3
50,19.8
51,22.2
52,24.4
53,25.0
54,29.1
55,42.3
56,39.8
57,37.7
58,16.1
59,12.1
61,17.5
62,16.3
63,17.3
64,19.6
65,16.8
66,17.6
67,10.8
68,12.4
69,13.2
70,21.6
71,17.2
72,21.7
73,18.4
74,17.5
75,14.7
76,22.2
77,14.1
78,9.6
79,16.4
80,17.5
81,32.3
82,29.4
83,14.3
84,15.1
85,17.5
86,13.3
87,14.5
88,16.6
89,18.4
90,15.4
91,20.9
92,0.4
93,39.1
94,37.4
95,17.3
96,16.5
97,25.8
98,33.8
99,16.4
100,15.9
101,74.6
102,18.5
103,16.4
104,21.2
105,22.2
106,21.3
107,20.9
108,29.4
109,29.2
110,39.0
111,19.5
112,23.9
113,27.9
114,37.9
115,42.4
116,19.0
117,20.4
118,35.5
119,36.1
120,62.1
121,23.9
122,23.6
124,25.3
125,26.4
128,17.8
129,38.4
130,38.1
131,44.8
132,31.2
133,30.1
134,17.8
135,23.7
136,23.6
137,44.7
138,35.4
139,25.8
140,32.1
141,18.3
143,25.1
144,32.2
145,31.1
147,25.1
150,44.0
151,44.4
152,31.7
153,48.2
154,63.4
158,36.3
159,40.8
161,29.3
162,43.9
164,30.4
166,38.3
167,38.3
168,68.3
169,34.9
170,37.6
171,35.3
172,29.1
173,30.3
174,24.5
175,39.7
176,34.9
177,41.9
178,35.3
179,31.4
180,29.1
181,39.2
182,32.1
183,62.0
184,29.1
185,37.5
186,44.9
187,37.3
188,38.4
189,30.4
190,57.1
191,32.8
192,28.0
193,28.3
195,11.0
196,38.0
197,35.3
198,34.3
199,30.0
200,27.4
201,24.5
202,24.8
203,30.4
205,42.7
206,38.4
207,45.4
208,29.5
209,38.3
210,33.1
211,17.5
212,37.4
213,38.4
214,27.6
215,39.8
216,29.4
217,30.1
218,29.0
219,36.9
220,22.5
221,52.1
222,26.4
223,37.0
224,39.3
225,39.8
226,38.5
227,38.0
228,33.9
229,33.4
231,36.0
232,25.0
233,21.5
234,40.0
235,50.3
236,32.8
237,41.5
238,26.9
239,18.4
240,33.3
241,33.3
242,23.5
243,39.3
244,38.3
245,39.6
246,32.1
247,24.3
249,24.5
250,68.1
251,24.8
252,23.9
253,23.9
254,9.9
255,32.9
256,20.2
257,32.8
258,36.9
259,31.9
260,20.3
261,3.8
262,45.8
263,20.0
264,37.5
265,20.8
266,16.9
267,41.9
