Year,SOV,HOV,Transit,Non-Motorized,Other
2016,0.76,0.14,0.02,0.07,0.01
2025,0.72,0.15,0.03,0.09,0.01
2035,0.67,0.14,0.07,0.11,0.01
2050,0.64,0.15,0.08,0.13,0.01
