stat,2016_x,2025_x,2035_x,2050_x,2016_y,2025_y,2035_y,2050_y
num_hhs,1197126.0,1298814.0,1408502.0,1455755.0,0.0,0.0,0.0,0.0
hh_income,80109.06513850672,85876.22910516826,88035.6539898417,91537.2872372068,0.0,0.0,0.0,0.0
hh_size,2.727773016374216,2.636362096497266,2.537194835364096,2.5412050791513683,0.0,0.0,0.0,0.0
auto_ownership,1.85761899749901,1.8215980117245425,1.746865109172724,1.7284124045598332,0.0,0.0,0.0,0.0
num_persons,3265488.0,3424144.0,3573644.0,3699372.0,0.0,0.0,0.0,0.0
num_workers,1538157.0,1597913.0,1674899.0,1729051.0,0.0,0.0,0.0,0.0
num_teleworkers,226633.0,312675.0,378295.0,457308.0,0.0,0.0,0.0,0.0
total_vmt,83614703.8197748,84538406.30960627,85412968.28717363,88133934.01426175,0.0,0.0,0.0,0.0
total_vht,159507250.88192335,154500945.5653622,156940791.69171652,161419605.0435818,0.0,0.0,0.0,0.0
total_vhd,600797.7630917316,491851.2491604547,503585.55703811935,526375.3642031327,0.0,0.0,0.0,0.0
num_v_trips,12047202.56469537,12724209.253725627,13541315.796211218,14118341.508540727,102256.41381116,109939.65315258,124543.87552385998,131219.47015414
num_p_trips,16426897.74200878,17291336.789564516,18046387.753394462,18838172.21130074,0.0,0.0,0.0,0.0
resident_trip_rate,4.220621542630076,4.214771633435977,4.177438491355042,4.175130265353147,0.0,0.0,0.0,0.0
worker_trip_rate,4.4809138468959935,4.453487768107525,4.401003284377148,4.387503318294255,0.0,0.0,0.0,0.0
percent_total,0.0,0.0,0.0,0.0,6.907303046832489,7.414960951197326,8.070898503199505,8.369265066887403
