tripMode,2016,2025,2035,2050
SOV,54.8,47.4,40.7,36.0
HOV,21.6,20.5,17.8,17.3
Transit,5.1,6.8,10.9,11.8
Non-Motorized,15.6,21.8,26.9,30.7
Other,2.8,3.5,3.6,4.1
