tripMode,2016,2025,2035,2050
SOV,25.9,25.2,24.8,25.3
HOV,22.7,22.6,21.7,22.2
Transit,71.7,70.4,57.9,54.9
Non-Motorized,17.5,19.8,19.4,20.6
Other,17.0,16.1,15.5,16.0
