Year,SOV,HOV,Transit,Non-Motorized,Other
2016,0.76,0.14,0.02,0.07,0.0
2025,0.7,0.15,0.04,0.1,0.01
2035,0.65,0.14,0.08,0.12,0.01
2050,0.61,0.14,0.09,0.14,0.01
