origin,destination,2016,2025,2035,2050
Carlsbad,San Diego,3095.3073854,3280.1457089,3539.1397208,3791.4061882
Chula Vista,San Diego,2433.1746509,2673.9261481,2802.86527,3268.0638729
Coronado,San Diego,310.1946108,315.7904192,378.5898204,302.1886228
Del Mar,San Diego,492.2225549,540.9510978,530.756487,608.3862275
El Cajon,San Diego,1329.1766468,1219.0139722,1481.1656689,1547.2335331
Encinitas,San Diego,3022.0948104,2999.4950104,3256.2754494,3525.4031941
Escondido,San Diego,1866.5598804,1997.0988027,2273.0339325,2350.642715
Imperial Beach,San Diego,204.5988024,232.6946108,260.5898204,264.1886228
La Mesa,San Diego,1028.5808384,1070.8223554,1208.9271458,1288.8752497
Lemon Grove,San Diego,309.991018,299.9231537,384.482036,374.6826348
National City,San Diego,789.1057885,886.8872257,1114.2854293,1133.8013974
Oceanside,San Diego,1907.8962077,2112.4321361,2566.1417169,3024.0499006
Poway,San Diego,1485.7045909,1550.8632736,1712.1536928,1691.5768465
San Diego,San Diego,74496.44175366,80920.99746018,92563.56713676,96694.64879184
San Marcos,San Diego,1086.3712576,1235.9740521,1408.8782437,1760.3512977
Santee,San Diego,1251.8992017,1250.9371259,1372.7644712,1382.7984033
Solana Beach,San Diego,1137.9451098,1160.5938125,1250.9241517,1326.3103793
Unincorporated,San Diego,5207.2315372,5291.4481045,5496.2724559,5784.8792425
Vista,San Diego,801.9171656999999,899.6586828,943.0628744,1099.9830341
