origin,destination,2016,2025,2035,2050
2215,2215,1411.0069858,1752.24042814,0.0,0.0
2236,2215,1320.58274344,1628.9301398,0.0,0.0
2239,2215,940.8832334,833.73044814,0.0,0.0
2264,2215,904.6117764,1115.05479944,0.0,0.0
2283,2215,838.018962,848.8832334,0.0,0.0
2258,2215,680.8892216,743.06378154,0.0,0.0
2157,2215,671.7844312,650.5499002,0.0,0.0
2510,2215,584.3892216,627.5838324,0.0,0.0
2213,2215,550.0928144000001,672.5159681,0.0,0.0
2129,2215,542.8892215,523.56868088,0.0,0.0
2247,2215,538.4600798,501.8243512,0.0,0.0
2252,2215,536.3862275,636.256487,0.0,0.0
2086,2215,534.8892216,490.7504989,0.0,0.0
2199,2215,533.73044814,1428.35120654,0.0,0.0
2202,2215,522.8862276,643.50998,0.0,0.0
2254,2215,497.1576846,862.8832335,0.0,0.0
2265,2215,460.83523854,514.43404104,0.0,0.0
2121,2215,452.8612774,0.0,0.0,0.0
2282,2215,449.6916168,0.0,0.0,0.0
2269,2215,424.9940119,0.0,0.0,0.0
2173,2215,0.0,493.3892215,0.0,0.0
2249,2215,0.0,435.1237523,0.0,0.0
2292,2215,0.0,431.6207585,0.0,0.0
2199,2199,0.0,0.0,2424.60170514,2895.78116462
2236,2199,0.0,0.0,2336.79332244,2644.4740518
2215,2199,0.0,0.0,2218.57630174,2901.82915948
2264,2199,0.0,0.0,1092.58573734,1128.4051894
2254,2199,0.0,0.0,1040.6826346,1206.4051895
2213,2199,0.0,0.0,1025.71547814,1087.51487934
2173,2199,0.0,0.0,868.6487024,881.0039919999999
2283,2199,0.0,0.0,862.8832335,822.8482126399999
2258,2199,0.0,0.0,861.8552892,835.1177643
2239,2199,0.0,0.0,861.0868261,909.92805294
2157,2199,0.0,0.0,746.48992914,723.67855194
2202,2199,0.0,0.0,693.4790419,686.3742515
2252,2199,0.0,0.0,682.86318264,673.1147704
2228,2199,0.0,0.0,633.4820358,1026.14761374
2510,2199,0.0,0.0,591.7135729,621.6027945
2204,2199,0.0,0.0,547.2195608,882.0626926799999
2086,2199,0.0,0.0,543.12865174,583.253493
2129,2199,0.0,0.0,500.6886227,0.0
2265,2199,0.0,0.0,500.4880239,567.60070764
2282,2199,0.0,0.0,478.8213572,0.0
3403,2199,0.0,0.0,0.0,884.5718563
2156,2199,0.0,0.0,0.0,527.021956
