tripMode,2016_0,2016_1,2025_0,2025_1,2035_0,2035_1,2050_0,2050_1
SOV,8.0,16.1,7.9,15.3,7.8,15.1,7.9,15.2
HOV,7.1,14.0,7.1,13.6,7.3,13.8,7.5,14.1
Transit,9.1,52.2,9.6,49.1,9.7,45.4,9.7,42.9
Truck,10.6,18.2,11.3,18.3,12.0,19.2,12.6,20.1
Non-Motorized,1.0,16.0,1.1,16.1,1.1,15.6,1.2,15.8
Other,5.0,14.1,4.7,13.2,4.6,13.1,4.7,13.4
