origin,destination,2035,2050
4170,4170,879.7,1132.7
4172,4172,401.1,665.0
4679,4679,254.6,343.3
4173,4173,235.9,236.5
4172,4170,178.1,215.3
4170,4173,137.6,164.6
4170,4172,125.3,190.1
4172,4174,124.2,150.1
4679,4172,120.8,132.8
4174,4172,119.3,137.4
4173,4170,117.9,117.9
4679,4663,112.4,103.9
4663,4663,112.3,109.1
4679,4170,111.0,112.7
4776,4776,104.5,73.1
4170,4171,102.3,152.6
4695,4695,99.8,111.3
4663,4679,90.0,68.8
4879,4879,87.5,88.8
4682,4682,86.7,72.0
4171,4170,84.6,152.9
4172,4679,78.5,97.1
4795,4795,78.0,96.5
4170,4308,75.6,58.9
4173,4172,72.9,103.1
4172,4173,71.7,114.1
4308,4308,59.0,42.8
4171,4172,58.8,85.0
4176,4172,58.6,71.3
4171,4171,57.9,127.2
4694,4695,57.8,76.6
4787,4787,56.5,72.0
3093,4170,55.9,150.2
4170,4679,55.6,82.1
4176,4176,55.0,57.9
4174,4174,55.0,51.1
5194,4170,53.8,44.8
4308,4170,52.9,44.8
4679,4695,52.6,73.5
4795,4790,52.0,0.0
4690,4170,51.4,50.2
4172,4171,51.3,100.9
4170,4682,50.5,44.1
4690,4172,49.1,65.0
4694,4172,48.8,52.3
5642,4170,48.6,46.1
4307,4170,48.5,46.0
4652,4652,48.0,40.1
4771,4771,47.6,71.0
4172,4176,46.4,65.7
4779,4779,46.2,69.5
4679,4670,46.0,49.3
4679,4173,44.6,39.3
4679,4661,44.4,45.7
4172,4682,44.3,55.6
4679,4696,44.0,36.0
5194,4172,43.5,56.8
4969,4969,43.3,42.8
4170,4652,43.2,51.6
3093,4172,42.5,72.6
4682,4170,41.0,45.8
4682,4172,40.8,49.8
4170,4174,40.3,45.5
4695,4679,39.6,63.5
5179,4172,39.3,36.5
4679,4174,39.3,39.5
4694,4170,39.0,47.5
4177,4172,38.5,0.0
4790,4795,38.3,0.0
5161,4170,38.1,35.0
4790,4790,38.0,51.5
4172,4175,37.8,48.6
4679,4171,37.2,48.3
2689,4170,36.5,0.0
4181,4172,35.8,0.0
4792,4792,35.6,37.3
4796,4796,35.5,59.8
4679,4176,34.8,0.0
3050,4170,34.6,38.3
4170,4176,34.5,0.0
4679,4673,34.5,0.0
4690,4690,34.0,43.0
4174,4170,34.0,41.0
4696,4679,33.3,0.0
4787,4779,33.1,35.3
4679,4682,33.1,37.1
4296,4170,33.0,34.5
5642,4172,32.8,40.1
4781,4781,32.5,0.0
5605,4170,32.3,38.1
4184,4172,32.1,63.0
4703,4172,32.1,34.5
4703,4703,31.5,35.0
4673,4679,31.5,0.0
4170,4658,31.1,0.0
4176,4173,31.0,0.0
4670,4679,31.0,35.0
5192,4170,30.5,0.0
4781,4776,30.2,35.6
4882,4879,30.1,0.0
4184,4184,0.0,57.0
3093,4173,0.0,46.9
4172,4184,0.0,45.2
4679,4677,0.0,43.5
4677,4679,0.0,42.5
4787,4796,0.0,40.5
4171,4173,0.0,40.3
4696,4696,0.0,39.0
4797,4797,0.0,38.3
4670,4663,0.0,37.8
4661,4661,0.0,37.6
4714,4170,0.0,36.0
4175,4172,0.0,35.8
4173,4171,0.0,35.7
4663,4670,0.0,34.6
