index,2016,2025,2035,2050
White,62.4,58.1,54.6,49.3
Asian,11.2,14.7,16.6,19.4
Black,4.7,5.2,5.0,4.7
Two or More,5.6,5.8,6.5,7.5
Other,16.1,16.2,17.4,19.2
