origin,destination,2016,2025,2035,2050
2215,2215,1411.0069858,1752.24042814,0.0,0.0
2236,2215,1320.58274344,1628.9301398,0.0,0.0
2239,2215,940.8832334,833.73044814,0.0,0.0
2264,2215,904.6117764,1115.05479944,0.0,0.0
2283,2215,838.018962,848.8832334,0.0,0.0
2258,2215,680.8892216,743.06378154,0.0,0.0
2157,2215,671.7844312,650.5499002,0.0,0.0
2510,2215,584.3892216,627.5838324,0.0,0.0
2213,2215,550.0928144000001,672.5159681,0.0,0.0
2129,2215,542.8892215,523.56868088,0.0,0.0
2247,2215,538.4600798,501.8243512,0.0,0.0
2252,2215,536.3862275,636.256487,0.0,0.0
2086,2215,534.8892216,490.7504989,0.0,0.0
2199,2215,533.73044814,1428.35120654,0.0,0.0
2202,2215,522.8862276,643.50998,0.0,0.0
2254,2215,497.1576846,862.8832335,0.0,0.0
2265,2215,460.83523854,514.43404104,0.0,0.0
2121,2215,452.8612774,380.32925064,0.0,0.0
2282,2215,449.6916168,402.7255488,0.0,0.0
2269,2215,424.9940119,377.49891114,0.0,0.0
2173,2215,423.1886228,493.3892215,0.0,0.0
2028,2215,420.1886228,386.2904191,0.0,0.0
2292,2215,418.8183632,431.6207585,0.0,0.0
2270,2215,385.5618762,403.287425,0.0,0.0
2156,2215,379.53583744,385.9261477,0.0,0.0
2160,2215,376.6916168,354.6946107,0.0,0.0
2166,2215,365.491018,351.16857194,0.0,0.0
2153,2215,355.6237525,349.5898204,0.0,0.0
2163,2215,319.1916168,308.1207585,0.0,0.0
2512,2215,317.6297405,322.6237525,0.0,0.0
2272,2215,315.494012,323.5279441,0.0,0.0
2009,2215,312.9291417,295.78443120000003,0.0,0.0
2127,2215,311.2934132,284.262475,0.0,0.0
2249,2215,308.3243513,435.1237523,0.0,0.0
2061,2215,302.2255489,323.9540918,0.0,0.0
1923,2215,301.2964072,282.9291417,0.0,0.0
2250,2215,298.3952096,326.7255489,0.0,0.0
2253,2215,291.4261477,383.8612773,0.0,0.0
2172,2215,281.5249501,300.2285428,0.0,0.0
2170,2215,279.7255489,261.5868263,0.0,0.0
2227,2215,274.4261477,271.8213573,0.0,0.0
2137,2215,268.9660678,263.63463984,0.0,0.0
3325,2215,255.7315369,256.1237525,0.0,0.0
2284,2215,249.7934132,236.0249501,0.0,0.0
3153,2215,246.7964072,208.0958084,0.0,0.0
2113,2215,244.0249501,275.9570858,0.0,0.0
2058,2215,227.7285429,209.1237525,0.0,0.0
2248,2215,227.262475,222.24732358,0.0,0.0
2547,2215,225.497006,196.4291417,0.0,0.0
2311,2215,220.9291417,216.8922156,0.0,0.0
2198,2215,219.0279441,215.5928144,0.0,0.0
2149,2215,215.7255489,238.3922155,0.0,0.0
2043,2215,215.5958084,204.9261477,0.0,0.0
1981,2215,215.3952096,205.1267465,0.0,0.0
1966,2215,207.762475,207.1886227,0.0,0.0
2142,2215,204.4291417,232.6207585,0.0,0.0
2357,2215,203.5928144,188.4910179,0.0,0.0
2305,2215,202.7285429,225.759481,0.0,0.0
2069,2215,197.5249501,209.0189621,0.0,0.0
2049,2215,197.4291417,198.4231537,0.0,0.0
2242,2215,194.497006,208.2964072,0.0,0.0
2257,2215,182.5309381,268.1946107,0.0,0.0
2544,2215,177.7964072,214.0279441,0.0,0.0
2218,2215,173.7964072,219.6297405,0.0,0.0
2030,2215,173.7934131,142.2904192,0.0,0.0
2266,2215,170.1976048,182.8642714,0.0,0.0
2122,2215,168.3303393,153.4231537,0.0,0.0
2200,2215,167.7994012,168.5958084,0.0,0.0
2286,2215,166.8982036,175.527944,0.0,0.0
2303,2215,165.52794409999998,144.7934131,0.0,0.0
2091,2215,165.52794409999998,138.494012,0.0,0.0
2027,2215,165.4261477,166.4261477,0.0,0.0
2039,2215,153.494012,161.6267465,0.0,0.0
2289,2215,150.1297405,151.5958083,0.0,0.0
2823,2215,148.497006,168.7934132,0.0,0.0
2070,2215,147.497006,129.4291417,0.0,0.0
1942,2215,145.994012,175.8952096,0.0,0.0
2016,2215,144.1946108,151.0588822,0.0,0.0
2473,2215,143.2964072,108.0958084,0.0,0.0
1792,2215,139.3982036,143.8922156,0.0,0.0
2222,2215,138.5958084,146.1916168,0.0,0.0
2076,2215,136.997006,129.1946108,0.0,0.0
2099,2215,135.0309381,152.7964072,0.0,0.0
1650,2215,134.997006,122.994012,0.0,0.0
2120,2215,133.8303393,134.7964072,0.0,0.0
1918,2215,130.8982036,134.1976048,0.0,0.0
1741,2215,130.7994012,112.5958084,0.0,0.0
2342,2215,130.2285429,130.3982036,0.0,0.0
1806,2215,129.8982036,124.2964072,0.0,0.0
2152,2215,129.2994012,121.11458908,0.0,0.0
2155,2215,129.1976048,129.8982036,0.0,0.0
1785,2215,128.7964072,100.6976048,0.0,0.0
2131,2215,127.5928144,128.2934132,0.0,0.0
2111,2215,127.0988024,106.8952096,0.0,0.0
2132,2215,127.0648702,104.2934132,0.0,0.0
1686,2215,125.7934132,114.494012,0.0,0.0
2167,2215,124.997006,148.3922156,0.0,0.0
2019,2215,124.497006,101.6297405,0.0,0.0
2445,2215,123.7315369,132.494012,0.0,0.0
2119,2215,123.5309381,123.8273453,0.0,0.0
2627,2215,123.5309381,114.1636726,0.0,0.0
2618,2215,123.3982036,111.3982036,0.0,0.0
1969,2215,123.1297405,131.494012,0.0,0.0
2134,2215,122.994012,104.2964072,0.0,0.0
2285,2215,121.6976048,130.9261477,0.0,0.0
2589,2215,121.3952096,193.8273453,0.0,0.0
2759,2215,119.8303393,207.7225549,0.0,0.0
1989,2215,118.8952096,114.0958084,0.0,0.0
2300,2215,118.5988024,126.0958084,0.0,0.0
3176,2215,117.6327345,137.2285429,0.0,0.0
2647,2215,117.5988024,119.5958084,0.0,0.0
1687,2215,117.5958084,153.0249501,0.0,0.0
2062,2215,117.2934132,112.7994012,0.0,0.0
1845,2215,117.0928144,95.2964072,0.0,0.0
2302,2215,116.9261477,114.1267465,0.0,0.0
3563,2215,116.8982036,91.1946108,0.0,0.0
3776,2215,116.2994012,105.4291417,0.0,0.0
2765,2215,116.2964072,117.8642714,0.0,0.0
2315,2215,116.0958084,118.1576846,0.0,0.0
2356,2215,115.997006,108.7964072,0.0,0.0
2084,2215,114.9291417,120.259481,0.0,0.0
2046,2215,113.4291417,111.0928144,0.0,0.0
2220,2215,112.265469,95.7964072,0.0,0.0
1822,2215,111.8982036,86.8952096,0.0,0.0
1910,2215,111.7964072,90.3922156,0.0,0.0
1853,2215,111.6976048,105.7934132,0.0,0.0
2074,2215,111.5988024,115.7934132,0.0,0.0
2056,2215,111.5958084,105.3952096,0.0,0.0
2083,2215,108.8982036,96.8982036,0.0,0.0
1889,2215,108.2964072,96.9660678,0.0,0.0
2639,2215,107.7994012,90.1976048,0.0,0.0
4341,2215,107.5988024,94.497006,0.0,0.0
2364,2215,107.497006,106.5928144,0.0,0.0
2148,2215,107.265469,84.994012,0.0,0.0
2593,2215,106.8982036,80.997006,0.0,0.0
2135,2215,106.4291417,108.3303393,0.0,0.0
2319,2215,106.1976048,111.997006,0.0,0.0
2042,2215,105.3982036,86.997006,0.0,0.0
2143,2215,104.1976048,99.497006,0.0,0.0
1877,2215,104.1946108,171.1916168,0.0,0.0
1391,2215,103.5988024,89.997006,0.0,0.0
2734,2215,103.5,81.3952096,0.0,0.0
1995,2215,103.0309381,88.1297405,0.0,0.0
1921,2215,102.497006,86.997006,0.0,0.0
2688,2215,101.997006,92.0988024,0.0,0.0
3518,2215,101.997006,90.3982036,0.0,0.0
2034,2215,101.497006,127.6976048,0.0,0.0
1987,2215,101.2994012,91.997006,0.0,0.0
1869,2215,101.1976048,95.3952096,0.0,0.0
2087,2215,101.0958084,125.491018,0.0,0.0
2952,2215,100.5,82.8982036,0.0,0.0
1900,2215,100.497006,97.6946108,0.0,0.0
2225,2215,100.494012,104.1976048,0.0,0.0
2194,2215,100.1976048,99.4291417,0.0,0.0
1986,2215,99.997006,76.7934132,0.0,0.0
2246,2215,99.8982036,105.7315369,0.0,0.0
1683,2215,99.6976048,92.997006,0.0,0.0
2228,2215,99.5958084,246.991018,0.0,0.0
1890,2215,99.0958084,100.7285429,0.0,0.0
1860,2215,97.997006,137.1916168,0.0,0.0
2054,2215,97.9291417,98.2964072,0.0,0.0
2826,2215,97.6976048,72.994012,0.0,0.0
2188,2215,97.6327345,135.37216474,0.0,0.0
2040,2215,97.3952096,103.5279441,0.0,0.0
1963,2215,97.0958084,117.997006,0.0,0.0
2524,2215,96.1976048,101.0958084,0.0,0.0
2100,2215,95.997006,93.5958084,0.0,0.0
1866,2215,95.497006,92.6976048,0.0,0.0
1661,2215,95.0988024,98.997006,0.0,0.0
3151,2215,94.9321357,124.497006,0.0,0.0
2268,2215,94.7994012,82.997006,0.0,0.0
143,2215,94.5988024,85.6976048,0.0,0.0
3445,2215,93.997006,112.7315369,0.0,0.0
2387,2215,93.7964072,96.3952096,0.0,0.0
2067,2215,92.8982036,86.2994012,0.0,0.0
3366,2215,92.7994012,83.497006,0.0,0.0
2018,2215,92.6976048,68.7964072,0.0,0.0
1903,2215,92.3982036,89.1976048,0.0,0.0
1904,2215,92.2994012,88.0309381,0.0,0.0
2380,2215,91.5988024,114.5309381,0.0,0.0
1728,2215,91.3982036,79.5958084,0.0,0.0
2960,2215,90.3303393,105.8952096,0.0,0.0
2610,2215,89.6976048,98.997006,0.0,0.0
2423,2215,89.6976048,105.765469,0.0,0.0
1799,2215,89.5958084,90.1946108,0.0,0.0
3094,2215,89.3982036,111.7964072,0.0,0.0
3392,2215,89.0958084,68.3982036,0.0,0.0
2195,2215,88.7964072,76.5958084,0.0,0.0
2614,2215,88.0988024,69.7964072,0.0,0.0
2051,2215,87.7994012,80.497006,0.0,0.0
1774,2215,87.3982036,66.2315369,0.0,0.0
1032,2215,87.2994012,62.997006,0.0,0.0
1859,2215,87.0309381,80.1946108,0.0,0.0
3635,2215,87.0,83.497006,0.0,0.0
1820,2215,86.6976048,80.1976048,0.0,0.0
1846,2215,86.1976048,81.0928144,0.0,0.0
2308,2215,85.497006,83.7964072,0.0,0.0
2576,2215,85.2994012,78.2315369,0.0,0.0
1902,2215,85.1976048,87.8982036,0.0,0.0
2650,2215,85.0958084,65.8952096,0.0,0.0
2116,2215,84.3982036,71.8982036,0.0,0.0
3446,2215,84.0988024,78.3982036,0.0,0.0
1398,2215,83.8952096,81.2964072,0.0,0.0
2201,2215,83.6976048,102.5988024,0.0,0.0
2791,2215,83.5988024,72.7285429,0.0,0.0
3173,2215,83.497006,77.497006,0.0,0.0
1431,2215,83.1976048,63.9321357,0.0,0.0
2455,2215,82.5988024,70.3952096,0.0,0.0
1976,2215,82.5309381,96.8982036,0.0,0.0
2621,2215,82.497006,98.1297405,0.0,0.0
2123,2215,82.497006,89.2964072,0.0,0.0
2328,2215,82.3982036,64.9321357,0.0,0.0
2817,2215,82.1976048,107.0958084,0.0,0.0
1760,2215,81.8982036,57.9321357,0.0,0.0
1855,2215,81.8333333,81.2994012,0.0,0.0
2774,2215,81.497006,73.0988024,0.0,0.0
2570,2215,81.2994012,79.1976048,0.0,0.0
1793,2215,80.7315369,89.2994012,0.0,0.0
2786,2215,80.2315369,67.497006,0.0,0.0
3253,2215,80.0988024,78.7994012,0.0,0.0
2329,2215,80.0958084,83.5309381,0.0,0.0
2107,2215,80.0309381,65.3952096,0.0,0.0
2407,2215,79.8333333,84.2964072,0.0,0.0
3023,2215,79.5988024,106.994012,0.0,0.0
2185,2215,79.2964072,88.2315369,0.0,0.0
1814,2215,79.2964072,81.7964072,0.0,0.0
2007,2215,79.1976048,88.0928144,0.0,0.0
2050,2215,79.0958084,83.8952096,0.0,0.0
2757,2215,78.8333333,83.5,0.0,0.0
2075,2215,78.7994012,112.4630738,0.0,0.0
2466,2215,78.5988024,54.0988024,0.0,0.0
3413,2215,78.5988024,120.0309381,0.0,0.0
2063,2215,78.2994012,67.0988024,0.0,0.0
2558,2215,78.1327345,68.997006,0.0,0.0
2406,2215,77.997006,73.3982036,0.0,0.0
1876,2215,77.7315369,88.1946108,0.0,0.0
2210,2215,76.997006,78.7964072,0.0,0.0
2489,2215,76.6976048,72.9291417,0.0,0.0
1943,2215,76.497006,78.8952096,0.0,0.0
2550,2215,76.2964072,69.4291417,0.0,0.0
2532,2215,76.0988024,70.6327345,0.0,0.0
1878,2215,76.0958084,79.0309381,0.0,0.0
3169,2215,75.7994012,75.7994012,0.0,0.0
1954,2215,74.7994012,93.0309381,0.0,0.0
1994,2215,74.7964072,90.497006,0.0,0.0
2013,2215,73.994012,78.8952096,0.0,0.0
3337,2215,73.9321357,68.8982036,0.0,0.0
3215,2215,73.5988024,55.7285429,0.0,0.0
1818,2215,73.3982036,55.997006,0.0,0.0
1959,2215,73.0988024,65.2315369,0.0,0.0
2446,2215,73.0988024,59.0988024,0.0,0.0
1951,2215,73.0988024,70.997006,0.0,0.0
1800,2215,73.0988024,69.2315369,0.0,0.0
1972,2215,72.3982036,64.1976048,0.0,0.0
1956,2215,72.2994012,85.1636726,0.0,0.0
2827,2215,72.2964072,72.2964072,0.0,0.0
1710,2215,72.1976048,73.2315369,0.0,0.0
2564,2215,72.0988024,124.5958084,0.0,0.0
2079,2215,71.997006,51.0988024,0.0,0.0
2839,2215,71.2994012,69.2964072,0.0,0.0
3317,2215,71.2994012,64.0648702,0.0,0.0
1288,2215,70.997006,55.997006,0.0,0.0
3401,2215,70.7994012,74.3982036,0.0,0.0
2504,2215,70.7315369,73.6636726,0.0,0.0
2095,2215,70.0,94.494012,0.0,0.0
3959,2215,69.8333333,79.2964072,0.0,0.0
3181,2215,69.3982036,84.3982036,0.0,0.0
2590,2215,69.2994012,61.997006,0.0,0.0
1828,2215,68.8982036,56.8982036,0.0,0.0
2379,2215,68.3982036,67.3952096,0.0,0.0
3398,2215,67.5988024,67.497006,0.0,0.0
1872,2215,67.3982036,78.8952096,0.0,0.0
1784,2215,67.3982036,59.5988024,0.0,0.0
1726,2215,67.2964072,70.7994012,0.0,0.0
2291,2215,67.1327345,67.997006,0.0,0.0
1970,2215,66.7994012,66.8982036,0.0,0.0
2984,2215,66.3982036,53.8982036,0.0,0.0
1817,2215,66.2994012,48.8982036,0.0,0.0
1932,2215,65.6976048,53.7964072,0.0,0.0
1452,2215,65.3952096,55.0958084,0.0,0.0
2503,2215,65.2994012,59.0928144,0.0,0.0
3315,2215,65.1976048,60.8982036,0.0,0.0
2331,2215,65.1327345,78.1297405,0.0,0.0
2001,2215,65.0988024,75.997006,0.0,0.0
3515,2215,64.997006,77.0,0.0,0.0
3127,2215,64.8982036,119.1946108,0.0,0.0
2096,2215,64.7994012,51.8952096,0.0,0.0
1742,2215,64.7994012,45.6976048,0.0,0.0
3187,2215,64.5988024,67.6976048,0.0,0.0
2048,2215,64.3982036,57.7315369,0.0,0.0
1734,2215,64.3982036,65.6976048,0.0,0.0
2948,2215,64.2994012,64.6327345,0.0,0.0
1975,2215,63.997006,62.7994012,0.0,0.0
3045,2215,63.8982036,62.4321357,0.0,0.0
2196,2215,63.8982036,44.2285429,0.0,0.0
1747,2215,63.7994012,61.997006,0.0,0.0
1492,2215,63.7315369,57.5988024,0.0,0.0
2800,2215,63.6976048,86.762475,0.0,0.0
1847,2215,63.5988024,88.1606786,0.0,0.0
3513,2215,63.5,68.8982036,0.0,0.0
1882,2215,63.2994012,65.1946108,0.0,0.0
3259,2215,63.2994012,53.0988024,0.0,0.0
1677,2215,63.2315369,45.7964072,0.0,0.0
3521,2215,63.0988024,36.3982036,0.0,0.0
1775,2215,62.8982036,77.8982036,0.0,0.0
3118,2215,62.7994012,68.5988024,0.0,0.0
1941,2215,62.5988024,38.2994012,0.0,0.0
3122,2215,62.5,66.7315369,0.0,0.0
3390,2215,62.3982036,78.6976048,0.0,0.0
1533,2215,62.3982036,86.3982036,0.0,0.0
3312,2215,62.3982036,48.2994012,0.0,0.0
3375,2215,62.2994012,48.497006,0.0,0.0
2598,2215,62.1976048,57.997006,0.0,0.0
2915,2215,62.1666666,46.0309381,0.0,0.0
1635,2215,62.0988024,52.8982036,0.0,0.0
2000,2215,61.997006,46.2285429,0.0,0.0
1886,2215,61.997006,72.997006,0.0,0.0
2663,2215,61.8982036,73.6976048,0.0,0.0
2955,2215,61.5988024,73.3982036,0.0,0.0
1754,2215,61.5,72.5958084,0.0,0.0
2467,2215,61.2994012,73.2994012,0.0,0.0
2562,2215,61.1976048,46.0,0.0,0.0
3220,2215,61.0,76.497006,0.0,0.0
2609,2215,60.7994012,57.5,0.0,0.0
2794,2215,60.5988024,67.3952096,0.0,0.0
2735,2215,60.5988024,52.2934132,0.0,0.0
2275,2215,60.4321357,75.6666666,0.0,0.0
1663,2215,60.1327345,53.6976048,0.0,0.0
2234,2215,60.0,53.5,0.0,0.0
2825,2215,59.8982036,51.4321357,0.0,0.0
1748,2215,59.8982036,60.262475,0.0,0.0
1737,2215,59.8982036,51.997006,0.0,0.0
2341,2215,59.6976048,58.0988024,0.0,0.0
4395,2215,59.6976048,49.3982036,0.0,0.0
2628,2215,59.5,50.262475,0.0,0.0
3493,2215,59.2315369,59.3952096,0.0,0.0
2798,2215,59.1297405,76.0309381,0.0,0.0
2592,2215,59.0988024,51.8982036,0.0,0.0
2545,2215,58.7994012,53.0988024,0.0,0.0
2885,2215,58.7994012,64.7964072,0.0,0.0
2130,2215,58.6327345,51.6297405,0.0,0.0
1808,2215,58.5988024,66.1976048,0.0,0.0
3046,2215,58.3982036,60.2315369,0.0,0.0
1424,2215,58.2994012,43.8982036,0.0,0.0
3314,2215,58.1976048,60.3982036,0.0,0.0
1341,2215,58.0988024,64.0988024,0.0,0.0
1429,2215,58.0988024,47.1976048,0.0,0.0
2698,2215,57.5988024,58.6327345,0.0,0.0
2658,2215,57.5988024,39.5309381,0.0,0.0
2408,2215,57.5988024,53.5988024,0.0,0.0
3698,2215,57.5988024,43.997006,0.0,0.0
1893,2215,57.5,31.8982036,0.0,0.0
4664,2215,57.3982036,50.0988024,0.0,0.0
1382,2215,56.7994012,71.6976048,0.0,0.0
1702,2215,56.6976048,85.8273453,0.0,0.0
1864,2215,56.5,48.8952096,0.0,0.0
1840,2215,56.3982036,59.1327345,0.0,0.0
2932,2215,56.2994012,64.997006,0.0,0.0
1731,2215,56.1976048,54.3952096,0.0,0.0
2736,2215,56.0,27.1976048,0.0,0.0
3436,2215,55.5988024,58.5988024,0.0,0.0
2456,2215,55.3982036,49.2964072,0.0,0.0
2587,2215,55.0988024,54.9321357,0.0,0.0
2540,2215,54.7994012,50.0988024,0.0,0.0
1360,2215,54.7994012,61.2964072,0.0,0.0
3595,2215,54.5,24.7994012,0.0,0.0
2537,2215,54.5,61.2994012,0.0,0.0
1772,2215,54.4321357,55.8982036,0.0,0.0
2830,2215,54.2994012,65.3982036,0.0,0.0
2546,2215,54.2964072,67.3982036,0.0,0.0
1743,2215,54.0988024,65.0958084,0.0,0.0
2487,2215,54.0309381,48.6976048,0.0,0.0
2044,2215,53.997006,64.997006,0.0,0.0
2634,2215,53.7994012,49.3982036,0.0,0.0
2782,2215,53.6976048,47.2994012,0.0,0.0
2102,2215,53.6327345,41.5988024,0.0,0.0
2023,2215,53.5988024,46.9321357,0.0,0.0
1284,2215,53.5988024,38.5988024,0.0,0.0
2147,2215,53.5988024,53.497006,0.0,0.0
2088,2215,53.5988024,74.2315369,0.0,0.0
1887,2215,53.3982036,38.997006,0.0,0.0
2669,2215,53.3982036,44.5988024,0.0,0.0
1949,2215,53.2994012,51.7994012,0.0,0.0
2240,2215,53.2994012,33.0988024,0.0,0.0
1260,2215,53.2994012,55.0988024,0.0,0.0
3014,2215,53.1976048,34.8982036,0.0,0.0
2666,2215,53.0988024,58.0988024,0.0,0.0
2041,2215,52.997006,46.5988024,0.0,0.0
2052,2215,52.8982036,51.997006,0.0,0.0
1950,2215,52.8982036,48.494012,0.0,0.0
2012,2215,52.7994012,61.3982036,0.0,0.0
2687,2215,52.5988024,44.8982036,0.0,0.0
2388,2215,52.4321357,72.0988024,0.0,0.0
2692,2215,52.0988024,45.0988024,0.0,0.0
2726,2215,52.0988024,59.3982036,0.0,0.0
2324,2215,52.0988024,55.7994012,0.0,0.0
1439,2215,51.8982036,52.1976048,0.0,0.0
1400,2215,51.7994012,61.0988024,0.0,0.0
1960,2215,51.6976048,51.3982036,0.0,0.0
2741,2215,51.5988024,51.0958084,0.0,0.0
2077,2215,51.5988024,62.1976048,0.0,0.0
2908,2215,51.5988024,45.5988024,0.0,0.0
3460,2215,51.3982036,57.3982036,0.0,0.0
