Year,SOV,HOV,Transit,Non-Motorized,Other
2016,0.63,0.26,0.01,0.09,0.01
2025,0.6,0.26,0.02,0.11,0.01
2035,0.57,0.25,0.03,0.14,0.01
2050,0.54,0.25,0.04,0.15,0.02
