tripMode,2016,2025,2035,2050
SOV,7.8,7.7,7.7,7.9
HOV,7.1,7.0,7.1,7.3
Transit,9.4,9.9,10.1,10.3
Non-Motorized,1.0,1.1,1.1,1.2
Other,8.5,7.4,6.8,7.1
