origin,destination,2016,2025,2035,2050
5604,5604,0.0,0.0,1014.7,1143.6
8511,8507,0.0,0.0,984.7,1699.9
6088,6088,0.0,0.0,962.6,0.0
19191,18314,0.0,0.0,926.4,0.0
18314,19191,0.0,0.0,907.8,0.0
3044,3025,0.0,0.0,887.0,0.0
8511,8520,0.0,0.0,0.0,2104.8
8511,8470,0.0,0.0,0.0,1857.0
8520,8511,0.0,0.0,0.0,1821.0
8453,8453,0.0,0.0,0.0,1749.2
7090,8511,0.0,0.0,0.0,1706.3
8511,7090,0.0,0.0,0.0,1600.1
8470,8511,0.0,0.0,0.0,1583.9
7066,7102,0.0,0.0,0.0,1569.8
3093,3017,0.0,0.0,0.0,1511.1
7102,7066,0.0,0.0,0.0,1502.1
3017,3093,0.0,0.0,0.0,1495.2
8057,7090,0.0,0.0,0.0,1383.8
8509,8511,0.0,0.0,0.0,1343.3
7113,7066,0.0,0.0,0.0,1321.2
7119,7066,0.0,0.0,0.0,1293.2
8470,8470,0.0,0.0,0.0,1287.0
7066,7113,0.0,0.0,0.0,1241.2
8511,8509,0.0,0.0,0.0,1208.2
7090,8057,0.0,0.0,0.0,1189.1
7066,7119,0.0,0.0,0.0,1171.9
8453,8511,0.0,0.0,0.0,1093.8
8058,8058,0.0,0.0,0.0,1081.7
8511,8506,0.0,0.0,0.0,1078.8
