origin,destination,2016,2025,2035,2050
3325,3563,24645.96779853,0.0,0.0,0.0
4341,3563,24424.4353202,0.0,0.0,0.0
3635,3563,19193.93060338,0.0,0.0,0.0
3692,3563,18293.96298372,0.0,0.0,0.0
3776,3563,16356.33134264,0.0,0.0,0.0
4330,3563,16089.99211268,0.0,0.0,0.0
3959,3563,15502.93086969,0.0,0.0,0.0
3563,3563,14608.04573,0.0,0.0,0.0
3515,3563,12880.46144588,0.0,0.0,0.0
3398,3563,12255.66386262,0.0,0.0,0.0
3413,3563,12183.94066848,0.0,0.0,0.0
3523,3563,12087.45128518,0.0,0.0,0.0
3446,3563,11230.68635981,0.0,0.0,0.0
4314,3563,10899.01651836,0.0,0.0,0.0
3390,3563,10768.8396885,0.0,0.0,0.0
3444,3563,10695.24007078,0.0,0.0,0.0
3401,3563,9808.54445946,0.0,0.0,0.0
4174,3563,9353.98866154,0.0,0.0,0.0
3340,3563,9353.82934855,0.0,0.0,0.0
3392,3563,9256.34286303,0.0,0.0,0.0
4330,4330,0.0,40283.96236252,37872.23272934,0.0
4019,4330,0.0,39826.01779464,45900.88614922,0.0
3325,4330,0.0,23624.47487372,19854.83478822,0.0
3692,4330,0.0,20929.96207628,24491.29931076,0.0
4341,4330,0.0,20354.73326768,19710.81310668,0.0
3959,4330,0.0,19349.78906278,20737.35583784,0.0
3635,4330,0.0,19240.57358866,16987.06351541,0.0
3413,4330,0.0,15320.0188769,17033.55199365,0.0
3776,4330,0.0,15105.53457162,14478.45345996,0.0
3563,4330,0.0,13816.59245424,13809.93558618,0.0
3515,4330,0.0,13792.13800088,14985.4582701,0.0
3523,4330,0.0,12159.44647457,12485.51715061,0.0
3398,4330,0.0,11819.11033205,11349.16467658,0.0
3444,4330,0.0,11567.61223508,12243.38868196,0.0
3390,4330,0.0,11391.12548061,11896.55108304,0.0
4174,4330,0.0,11053.31800258,11906.11522642,0.0
3446,4330,0.0,10670.2847065,12854.46307642,0.0
3340,4330,0.0,10474.72083845,0.0,0.0
4314,4330,0.0,10410.84495166,0.0,0.0
1,4330,0.0,10173.715574,0.0,0.0
3403,4330,0.0,0.0,31624.89639965,0.0
3469,4330,0.0,0.0,23098.49683224,0.0
3363,4330,0.0,0.0,11044.07113536,0.0
3403,3403,0.0,0.0,0.0,72654.84869039
4019,3403,0.0,0.0,0.0,40369.9179014
4330,3403,0.0,0.0,0.0,35151.86500868
3692,3403,0.0,0.0,0.0,31392.72827104
3469,3403,0.0,0.0,0.0,22469.08538262
3959,3403,0.0,0.0,0.0,20837.58737483
4341,3403,0.0,0.0,0.0,18391.79840848
3325,3403,0.0,0.0,0.0,17606.81872914
3515,3403,0.0,0.0,0.0,15909.82952799
3635,3403,0.0,0.0,0.0,15660.08011728
3413,3403,0.0,0.0,0.0,15642.83088885
3446,3403,0.0,0.0,0.0,13914.69552106
3776,3403,0.0,0.0,0.0,13636.18626578
3563,3403,0.0,0.0,0.0,13051.98212974
3346,3403,0.0,0.0,0.0,12896.04182912
3390,3403,0.0,0.0,0.0,12768.84830737
3523,3403,0.0,0.0,0.0,12704.40138325
3363,3403,0.0,0.0,0.0,12508.92125294
3444,3403,0.0,0.0,0.0,12460.68545134
3393,3403,0.0,0.0,0.0,12131.74297178
