Year,No Build (Minority),Build (Minority),No Build (Non-Minority),Build (Non-Minority)
2016,5.50230396028903,5.50230396028903,4.68354930382469,4.68354930382469
2025,5.4051845731496,5.40711383700493,4.6671868103505,4.70171250621477
2035,5.88082518923546,5.50251681256409,5.13332768694295,4.95427253322737
2050,6.06402471935239,5.63094343649473,5.38622752637916,5.04362593517641
