TAZ,vmt_per_capita_by_taz
13,46.1
14,71.6
15,30.9
16,51.6
17,37.6
18,35.6
19,31.5
20,38.0
21,31.4
22,53.9
23,51.1
25,55.0
27,82.4
28,69.1
29,71.2
30,33.4
31,34.3
32,38.3
33,30.1
34,22.0
35,34.8
36,34.7
37,35.0
38,16.4
39,26.0
40,32.9
41,26.7
42,39.4
44,24.2
45,18.1
46,21.9
47,37.1
48,22.1
49,14.9
50,16.5
51,29.9
52,17.6
53,24.9
54,26.4
55,39.2
56,39.4
57,41.2
58,16.2
59,9.5
61,15.0
62,17.0
63,15.3
64,16.6
65,13.0
66,16.3
67,8.9
68,13.5
69,13.2
70,19.4
71,12.9
72,23.2
73,18.2
74,16.8
75,16.7
76,13.2
77,14.1
78,14.3
79,16.7
80,15.2
81,53.5
82,30.1
83,13.9
84,13.5
85,15.8
86,12.3
87,15.7
88,18.2
89,18.3
90,19.8
91,13.7
92,0.0
93,28.8
94,35.9
95,17.8
96,19.1
97,27.8
98,45.6
99,18.6
100,16.7
101,70.7
102,17.7
103,14.5
104,16.5
105,21.6
106,23.4
107,20.6
108,23.9
109,31.6
110,38.5
111,18.4
112,17.9
113,21.1
114,34.0
115,40.8
116,22.6
117,22.7
118,39.3
119,34.8
120,69.8
121,23.7
122,22.9
124,20.2
125,23.8
128,102.7
129,37.9
130,35.5
131,41.4
132,30.8
133,28.4
134,47.6
135,27.2
136,24.7
137,31.4
138,32.7
139,23.4
140,33.5
141,16.4
143,23.1
144,28.3
145,31.5
147,25.8
150,37.8
151,37.6
152,17.0
153,57.1
154,52.0
158,34.2
159,37.0
161,41.3
162,49.7
164,26.2
166,39.5
167,39.1
168,67.1
169,31.8
170,40.8
171,41.8
172,32.6
173,26.0
174,29.3
175,42.4
176,28.8
177,46.1
178,34.4
179,31.2
180,30.1
181,49.5
182,30.0
183,46.7
184,29.8
185,42.4
186,48.5
187,44.1
188,32.3
189,30.8
190,54.5
191,37.5
192,27.1
193,41.9
195,1.1
196,29.9
197,35.1
198,27.2
199,37.0
200,29.7
201,24.6
202,27.5
203,30.1
205,38.8
206,45.3
207,38.7
208,30.5
209,39.1
210,30.5
211,59.9
212,49.6
213,35.1
214,24.1
215,45.0
216,39.8
217,27.7
218,18.9
219,40.2
220,22.8
221,40.7
222,31.6
223,31.0
224,32.6
225,37.3
226,42.9
227,38.0
228,38.8
229,34.1
231,28.8
232,31.5
233,22.8
234,40.6
235,32.4
236,43.3
237,39.8
238,26.8
239,18.7
240,37.4
241,30.7
242,30.3
243,42.7
244,38.1
245,47.7
246,40.3
247,27.1
249,23.7
250,70.9
251,26.0
252,15.3
253,24.9
254,17.1
255,31.1
256,19.8
257,35.2
258,37.1
259,32.1
260,19.7
261,19.5
262,39.2
263,19.7
264,28.1
265,19.9
266,16.1
267,33.6
268,21.8
269,16.6
270,9.1
271,33.4
272,20.3
273,20.7
274,32.6
275,19.8
276,19.5
277,35.9
278,33.4
279,17.4
280,19.7
281,37.3
282,30.7
283,31.6
284,18.0
285,36.1
288,26.6
289,26.2
290,39.8
291,29.0
293,16.9
294,29.6
295,19.7
296,19.2
297,17.2
298,22.1
299,37.6
