tripPurposeDestination,purpose_counts,purpose_share
Dining,782570.4,5.8
Discretionary,767036.4,5.7
Escort,1572747.0,11.6
Home,3657323.6,27.0
Maintenance,888191.5,6.6
Other,1718214.4,12.7
School,423765.0,3.1
Service,747187.5,5.5
Shop,1441157.1,10.6
Work,1543122.8,11.4
