model,person_trips,vehicle_trips
airportCBX,5648.0,2630.0
airportSAN,69826.0,43260.0
commercialVehicle,1489874.5,1489874.5
crossBorder,500143.0,360787.91016058
externalExternal,25949.28361017,14652.3340075119
externalInternal,302046.0811113176,188209.75466015824
individual,13303326.0,10461514.42731736
internalExternal,159412.0,128296.9791072
joint,1465940.0,632266.00228535
truck,40474.888673022346,40474.888673022346
visitor,683748.0,179349.0
