homeCity,vmt_per_capita_by_city
Carlsbad,19.5
Chula Vista,14.3
Coronado,14.7
Del Mar,21.8
El Cajon,13.4
Encinitas,19.5
Escondido,14.3
Imperial Beach,13.8
La Mesa,15.4
Lemon Grove,14.5
National City,10.2
Oceanside,16.2
Poway,20.4
San Diego,14.9
San Marcos,15.5
Santee,19.0
Solana Beach,20.8
Unincorporated,25.0
Vista,14.7
