homeMGRA,ao_by_mgra
1,1.8888888888888888
2,1.8529411764705883
3,2.0576923076923075
4,2.1666666666666665
5,1.9285714285714286
6,1.881578947368421
7,2.0833333333333335
8,2.066666666666667
9,2.04
10,2.0
11,2.12
12,1.8636363636363635
13,2.04
14,2.0303030303030303
15,2.076923076923077
16,1.8571428571428572
17,1.6666666666666667
18,1.7142857142857142
19,2.0
20,1.696969696969697
21,1.7894736842105263
22,2.125
23,1.8717948717948718
24,2.0714285714285716
25,1.92
26,1.8846153846153846
27,1.9523809523809523
28,2.2857142857142856
29,2.074074074074074
30,1.7333333333333334
31,1.9473684210526316
32,2.5833333333333335
33,2.0
34,2.0357142857142856
35,1.9047619047619047
36,1.6666666666666667
37,2.7777777777777777
38,1.4782608695652173
39,2.0
40,3.0
41,2.0
42,1.8148148148148149
43,1.7179487179487178
44,2.1363636363636362
45,1.75
46,2.0555555555555554
47,2.272727272727273
48,2.25
49,2.2142857142857144
50,2.129032258064516
51,2.1666666666666665
52,2.142857142857143
53,1.7272727272727273
54,2.3333333333333335
55,1.0
56,1.7777777777777777
57,1.6
58,2.066666666666667
59,1.9130434782608696
60,2.230769230769231
61,2.5
62,2.25
63,1.6428571428571428
64,1.731958762886598
65,1.8
66,1.9090909090909092
67,1.6491228070175439
68,1.7222222222222223
69,1.8181818181818181
70,1.85
71,1.7297297297297298
72,2.25
73,1.9444444444444444
74,1.825
75,1.5593220338983051
76,1.7272727272727273
77,1.7241379310344827
78,1.6304347826086956
79,2.3333333333333335
80,1.6666666666666667
81,1.8823529411764706
83,1.5
84,1.8125
85,1.3725490196078431
86,1.736842105263158
87,1.6363636363636365
89,2.0625
90,1.7083333333333333
91,1.4545454545454546
92,1.3333333333333333
93,1.4423076923076923
94,1.4285714285714286
96,1.8666666666666667
97,1.6153846153846154
98,1.935483870967742
99,1.6415094339622642
100,1.5538461538461539
101,1.4388888888888889
102,1.7407407407407407
103,1.6111111111111112
104,2.064516129032258
105,1.5217391304347827
106,1.5142857142857142
107,1.44
108,1.6851851851851851
109,1.588235294117647
110,1.7666666666666666
111,1.763157894736842
112,1.5510204081632653
114,1.7647058823529411
115,1.5294117647058822
116,1.537190082644628
117,1.9375
118,1.6153846153846154
119,1.5172413793103448
120,1.6923076923076923
121,1.5294117647058822
122,2.0
123,1.3157894736842106
124,1.380281690140845
125,1.6296296296296295
126,1.8125
127,1.7708333333333333
128,1.588235294117647
129,1.532258064516129
130,1.7380952380952381
131,1.5229357798165137
132,1.710144927536232
133,1.35
134,1.4545454545454546
135,1.6272727272727272
136,1.5824175824175823
137,1.875
138,1.0
139,1.5
140,1.7142857142857142
141,1.84
142,1.625
143,1.4583333333333333
144,1.4
145,1.6
146,1.3846153846153846
147,1.2413793103448276
148,1.296875
149,1.5609756097560976
150,1.3714285714285714
151,1.1538461538461537
152,1.457142857142857
153,1.05
154,1.2210526315789474
155,1.2536231884057971
156,1.2875816993464053
157,1.2178217821782178
159,1.31
160,1.305
161,1.0689655172413792
162,1.2307692307692308
163,1.0955414012738853
165,0.8461538461538461
166,1.183622828784119
167,1.2626262626262625
168,1.1891891891891893
169,1.2179487179487178
170,1.1666666666666667
171,1.126984126984127
172,1.375
173,1.1400966183574879
174,1.2769230769230768
175,1.391304347826087
176,1.2285714285714286
177,1.370503597122302
178,1.2456140350877194
179,1.1523809523809523
180,1.1510416666666667
181,1.2666666666666666
182,1.1777777777777778
183,1.4054054054054055
184,1.34375
185,1.446808510638298
186,1.144736842105263
187,1.4
188,1.3214285714285714
189,1.3157894736842106
190,1.3533834586466165
191,1.2962962962962963
192,1.09375
194,1.3373983739837398
195,1.3132530120481927
196,1.3135593220338984
197,1.0
198,1.3157894736842106
199,1.2592592592592593
200,1.2736318407960199
201,1.36
202,1.42
203,1.0125
205,1.2347826086956522
206,1.0
207,1.2028985507246377
208,1.2
209,1.0223463687150838
210,1.1573604060913705
211,1.3333333333333333
213,1.5593220338983051
214,1.2983870967741935
215,1.3103448275862069
216,1.75
217,1.4666666666666666
220,1.5
221,1.2916666666666667
222,1.380952380952381
223,1.71875
224,1.4333333333333333
225,1.411764705882353
226,1.0232558139534884
227,1.4918032786885247
228,1.2127659574468086
229,1.3181818181818181
230,1.4342105263157894
231,1.4545454545454546
232,1.5555555555555556
233,1.5714285714285714
234,1.4736842105263157
235,1.3691275167785235
236,1.25
237,1.829268292682927
238,1.4857142857142858
239,1.6631578947368422
240,1.4838709677419355
241,1.5320512820512822
242,1.6036036036036037
243,1.5714285714285714
244,2.25
245,1.6388888888888888
246,1.7391304347826086
247,1.92
248,1.4631578947368422
249,1.5576923076923077
250,1.4835164835164836
251,1.0769230769230769
253,1.5675675675675675
254,1.3739837398373984
255,1.2452830188679245
256,1.5
257,1.4814814814814814
258,1.4
259,1.6
260,1.4246575342465753
261,1.550561797752809
262,1.3037974683544304
263,1.183431952662722
264,1.25
265,1.2191780821917808
266,1.4133333333333333
267,1.0833333333333333
268,0.6363636363636364
269,1.2210526315789474
270,1.159468438538206
271,1.391304347826087
272,1.1007194244604317
273,0.875
274,1.2
275,1.2058823529411764
276,0.0
277,1.152542372881356
279,1.0277777777777777
280,1.3769633507853403
281,1.1953488372093024
282,1.290909090909091
283,1.358288770053476
284,1.5
285,1.7183098591549295
286,1.2277227722772277
287,1.3855421686746987
288,1.258849557522124
289,1.3611111111111112
290,1.434782608695652
291,1.4197530864197532
292,1.391304347826087
293,1.36
294,1.3966244725738397
295,1.5092592592592593
296,1.3417721518987342
297,1.7297297297297298
298,1.625
299,1.7222222222222223
300,1.1363636363636365
302,1.6470588235294117
303,1.3366834170854272
304,1.5263157894736843
305,1.2682926829268293
306,1.5
307,1.22
308,1.7142857142857142
309,1.5
310,1.6153846153846154
311,1.4323432343234324
312,1.4578313253012047
313,1.6136363636363635
314,1.6571428571428573
315,1.25
316,1.2844444444444445
317,1.0763358778625953
318,1.1291390728476822
319,1.1918976545842217
320,1.0903614457831325
321,1.271186440677966
322,1.2333333333333334
323,1.0
324,1.2354570637119113
325,1.26890756302521
326,1.2564102564102564
327,1.25
328,1.2919254658385093
329,1.1065573770491803
330,1.3597122302158273
331,1.0980392156862746
332,1.1822222222222223
333,1.1576086956521738
334,1.1538461538461537
335,1.411764705882353
336,1.2201834862385321
337,1.2212389380530972
338,1.0138888888888888
339,1.296875
340,1.2517482517482517
341,1.0217391304347827
342,1.1294117647058823
343,1.0392156862745099
344,1.1411764705882352
345,1.3
346,1.1680672268907564
347,1.2027027027027026
348,1.5964912280701755
349,1.4831460674157304
350,1.5121951219512195
351,1.4453781512605042
352,1.4532374100719425
353,1.3894736842105264
354,1.546875
355,1.5333333333333334
356,1.3706896551724137
357,1.4942528735632183
358,1.4155251141552512
359,1.4190476190476191
360,1.396039603960396
361,1.3818181818181818
362,1.5
363,1.3076923076923077
364,1.279874213836478
365,1.3175965665236051
366,1.3440860215053763
367,1.76
368,1.5528455284552845
369,1.491869918699187
370,1.5857142857142856
371,1.5392156862745099
372,1.5670103092783505
373,1.4537037037037037
374,1.5408163265306123
375,1.458498023715415
376,1.48
377,1.7419354838709677
378,1.5308641975308641
379,1.4197530864197532
380,1.4871794871794872
381,1.5522388059701493
382,1.4186046511627908
383,1.1
384,1.1904761904761905
385,1.475
386,1.375796178343949
387,1.2903225806451613
388,1.4098360655737705
389,1.2673267326732673
390,1.386138613861386
391,1.2790697674418605
392,1.4155844155844155
393,1.1538461538461537
394,1.297709923664122
395,1.3627450980392157
396,1.4029850746268657
397,1.515527950310559
398,1.1982758620689655
399,1.4296875
400,1.2645502645502646
401,1.3628318584070795
402,1.284584980237154
403,1.2123893805309736
405,1.3758389261744965
406,1.4789915966386555
407,1.188340807174888
408,1.1696428571428572
409,1.3016949152542372
410,1.3313253012048192
411,1.0810810810810811
412,1.4041450777202074
413,1.3471810089020773
414,1.2403100775193798
415,1.2473118279569892
416,1.3111111111111111
417,1.3465346534653466
418,1.3093525179856116
419,1.2484848484848485
421,1.230508474576271
422,1.2872340425531914
423,1.2242424242424241
424,1.4534883720930232
425,1.2065217391304348
426,1.3707865168539326
427,1.2682926829268293
428,1.2338709677419355
429,1.2873563218390804
430,1.2846715328467153
431,1.2589928057553956
432,1.3625
433,1.4230769230769231
434,1.28
435,1.3571428571428572
436,1.5294117647058822
437,1.625
438,1.625
439,1.967741935483871
440,1.5217391304347827
441,1.591549295774648
442,1.5666666666666667
443,1.5
444,1.8064516129032258
445,1.36
446,1.6
447,1.8
448,1.3333333333333333
449,1.7826086956521738
450,1.8780487804878048
451,1.9111111111111112
452,1.7333333333333334
453,1.5
454,1.9130434782608696
456,1.3384615384615384
457,1.4047619047619047
459,1.6349206349206349
460,1.5733333333333333
461,1.6119402985074627
462,1.6043956043956045
463,1.7619047619047619
464,1.7837837837837838
465,1.4350877192982456
466,1.5151515151515151
467,1.6388888888888888
468,1.7448979591836735
469,1.7058823529411764
470,1.596774193548387
471,1.6285714285714286
472,1.8
473,1.7916666666666667
474,1.9830508474576272
475,2.1875
476,1.6
477,1.8396226415094339
478,2.5
479,1.7311827956989247
480,1.88
481,1.9382716049382716
482,1.8125
483,1.625
484,1.7560975609756098
485,1.6571428571428573
486,1.402390438247012
488,1.326086956521739
489,1.4684684684684686
490,1.6272727272727272
491,1.6290322580645162
492,1.2833333333333334
493,1.1594202898550725
494,1.5256410256410255
495,1.4482758620689655
496,1.6266666666666667
498,1.3058823529411765
499,1.4615384615384615
500,1.3333333333333333
501,0.5
502,1.3529411764705883
503,2.0
504,1.443298969072165
505,1.4125
506,1.2474226804123711
508,1.4545454545454546
509,1.3024691358024691
510,1.1865671641791045
511,1.16
513,1.1081081081081081
514,1.3011363636363635
515,1.1987577639751552
516,1.2463768115942029
517,1.3505154639175259
518,1.1369863013698631
519,1.4947368421052631
521,1.4553571428571428
522,1.5520833333333333
523,1.4558303886925794
524,1.4107142857142858
525,1.5914634146341464
526,1.3636363636363635
527,2.6666666666666665
528,1.6090909090909091
529,1.58
530,1.6521739130434783
531,1.4657534246575343
532,1.3424657534246576
533,1.3225806451612903
535,0.5
536,1.4
537,1.5594059405940595
538,1.6296296296296295
539,1.7727272727272727
540,1.5808823529411764
541,1.3898305084745763
542,1.4537037037037037
543,1.5588235294117647
544,1.380952380952381
545,1.2952380952380953
546,1.273972602739726
548,1.7142857142857142
549,1.5517241379310345
550,1.4036697247706422
551,1.4460093896713615
552,2.4
553,1.5058823529411764
554,1.5135135135135136
555,1.3305084745762712
556,1.4722222222222223
557,1.2
559,1.5944055944055944
560,1.4024024024024024
561,1.5806451612903225
562,1.441860465116279
563,1.512
564,1.4712990936555892
565,1.5
566,2.025
567,1.8125
568,1.7796610169491525
569,2.0588235294117645
570,1.7894736842105263
571,1.9387755102040816
572,2.0526315789473686
573,1.9473684210526316
574,1.9915254237288136
575,2.0
576,1.8615384615384616
577,1.7142857142857142
578,1.8631578947368421
579,1.9642857142857142
580,1.95
581,1.8620689655172413
582,1.6979865771812082
583,1.8981481481481481
584,1.8823529411764706
585,1.7916666666666667
586,2.096774193548387
587,1.8738738738738738
588,2.090909090909091
589,1.7402597402597402
590,2.0761904761904764
591,2.0
592,2.0
593,2.227272727272727
596,2.089655172413793
597,2.0208333333333335
598,2.064516129032258
599,2.110169491525424
600,1.8
601,2.1538461538461537
602,2.046875
603,1.8125
604,1.6666666666666667
605,2.0
606,1.8958333333333333
607,2.125
608,1.894736842105263
609,1.9619565217391304
610,1.8433734939759037
611,1.8333333333333333
612,2.0714285714285716
613,1.5384615384615385
614,2.1363636363636362
615,1.955223880597015
616,1.8074074074074074
617,2.08974358974359
618,1.75
619,1.8888888888888888
620,1.8557692307692308
621,1.8888888888888888
622,1.7446808510638299
623,1.859504132231405
624,1.3359375
625,2.0
626,1.719298245614035
627,1.5217391304347827
628,1.5
630,1.7333333333333334
631,1.5
632,1.550561797752809
633,2.0833333333333335
634,1.5108695652173914
635,1.8333333333333333
636,1.65
637,1.5
638,1.3370786516853932
640,1.28125
641,1.4090909090909092
642,1.5555555555555556
643,1.459016393442623
645,1.6545454545454545
646,1.5104166666666667
647,1.4545454545454546
648,1.6153846153846154
649,1.4615384615384615
650,1.5903614457831325
651,1.5686274509803921
652,1.5405405405405406
653,1.5196850393700787
654,1.6216216216216217
655,1.3333333333333333
656,1.536764705882353
657,1.6451612903225807
658,1.4642857142857142
659,1.4210526315789473
660,1.0
661,1.4698795180722892
663,1.4864864864864864
664,1.5
665,1.5
666,1.5294117647058822
667,1.5
668,1.4210526315789473
669,1.2995594713656389
670,1.4126984126984128
671,1.152542372881356
672,1.0
673,1.3307692307692307
674,1.3073394495412844
675,1.3177570093457944
676,1.264957264957265
677,1.2682926829268293
678,1.2280701754385965
679,0.9523809523809523
680,1.338235294117647
681,1.1666666666666667
682,1.25
683,1.201834862385321
684,1.4545454545454546
685,1.1479289940828403
686,1.2134146341463414
687,1.175257731958763
688,1.5
689,1.283132530120482
691,1.0
692,1.1
693,1.1166666666666667
694,1.3459119496855345
695,1.0357142857142858
696,1.1764705882352942
697,1.6666666666666667
698,1.3181818181818181
699,1.2992125984251968
702,1.2461538461538462
703,1.0
705,1.1058823529411765
706,1.2398373983739837
707,0.9230769230769231
708,0.9411764705882353
710,1.1224489795918366
711,1.1879194630872483
712,0.96875
713,1.008130081300813
714,1.275
715,1.2243589743589745
716,1.163265306122449
717,1.1818181818181819
718,1.3
719,1.125
720,1.2285714285714286
721,1.0675105485232068
722,1.0
723,0.9411764705882353
724,0.9621451104100947
725,1.2105263157894737
726,1.0555555555555556
727,0.9375
728,0.8844221105527639
730,0.9861111111111112
731,1.0289017341040463
732,1.1282051282051282
733,1.3190184049079754
734,1.0718232044198894
735,0.9836065573770492
736,0.7142857142857143
737,1.117117117117117
738,1.1666666666666667
739,1.2954545454545454
740,1.1228070175438596
741,1.1025641025641026
742,1.4057971014492754
743,1.510204081632653
744,1.4242424242424243
745,1.5714285714285714
747,1.3235294117647058
748,1.3506493506493507
749,1.4620253164556962
750,1.653061224489796
751,1.5957446808510638
752,1.5346534653465347
753,1.546875
754,1.6222222222222222
755,1.530909090909091
756,1.3696682464454977
757,1.6666666666666667
758,1.6136363636363635
759,1.5403726708074534
760,1.5348837209302326
761,1.3481012658227849
762,1.2745098039215685
763,1.3333333333333333
764,1.1339285714285714
766,1.4578313253012047
767,1.3
768,1.2195121951219512
769,1.5675675675675675
770,1.8461538461538463
771,1.28
772,1.2959183673469388
773,1.4014598540145986
774,1.1690140845070423
775,1.5700934579439252
776,1.3894736842105264
777,1.88135593220339
778,1.6785714285714286
779,1.453125
780,1.836734693877551
781,1.625
782,1.7959183673469388
783,2.0307692307692307
784,1.6666666666666667
785,1.8585858585858586
786,1.7894736842105263
787,1.4827586206896552
788,2.3125
789,1.6153846153846154
790,1.8095238095238095
791,1.9777777777777779
792,1.8307692307692307
793,1.3626373626373627
794,1.9516129032258065
795,1.7272727272727273
796,1.6363636363636365
797,2.0
798,1.7419354838709677
799,1.8333333333333333
800,1.6435643564356435
801,1.4634146341463414
802,1.6216216216216217
803,1.125
804,1.5333333333333334
805,1.736842105263158
806,1.6136363636363635
807,1.56
808,1.696969696969697
809,1.9107142857142858
810,1.8440366972477065
811,1.9528301886792452
812,1.9579831932773109
813,1.8852459016393444
