tripMode,Employment Center,Mobility Hub,Region
SOV,68.1,40.7,55.0
HOV,7.6,17.8,20.8
Transit,13.4,10.9,5.6
Truck,,,3.1
Non-Motorized,10.2,26.9,13.1
Other,0.7,3.6,2.4
