origin,destination,count
4019,4330,45900.88614922
4330,4330,37872.23272934
3403,4330,31624.89639965
3692,4330,24491.29931076
3469,4330,23098.496832240002
3959,4330,20737.35583784
3325,4330,19854.83478822
4341,4330,19710.81310668
3413,4330,17033.55199365
3635,4330,16987.06351541
3515,4330,14985.4582701
3776,4330,14478.45345996
3563,4330,13809.93558618
3446,4330,12854.46307642
3523,4330,12485.51715061
3444,4330,12243.38868196
4174,4330,11906.115226419999
3390,4330,11896.55108304
3398,4330,11349.16467658
3363,4330,11044.07113536
