tripMode,Employment Center,Mobility Hub,Region
SOV,84.5,54.8,61.1
HOV,6.2,21.6,22.8
Transit,2.6,5.1,2.0
Truck,,,3.1
Non-Motorized,6.2,15.6,9.0
Other,0.4,2.8,2.0
