origin,destination,count
4173.0,4173.0,307.9
4172.0,4172.0,265.6
4170.0,4170.0,124.0
4776.0,4776.0,121.7
4679.0,4679.0,112.6
4879.0,4879.0,106.8
4176.0,4172.0,85.8
4172.0,4174.0,84.1
4679.0,4663.0,83.7
4176.0,4176.0,77.0
4173.0,4172.0,76.5
4679.0,4172.0,71.0
4790.0,4790.0,66.6
4663.0,4663.0,63.5
4173.0,4170.0,62.8
4682.0,4682.0,62.6
4172.0,4173.0,61.8
4663.0,4679.0,59.5
4172.0,4176.0,58.0
4174.0,4172.0,56.8
4787.0,4787.0,54.0
4172.0,4679.0,53.0
4308.0,4308.0,52.8
4170.0,4173.0,50.5
4795.0,4795.0,48.2
4969.0,4969.0,47.8
4679.0,4173.0,47.5
4771.0,4771.0,47.0
5194.0,4172.0,46.5
4792.0,4792.0,46.5
4172.0,4175.0,44.5
4703.0,4703.0,44.0
4779.0,4779.0,43.7
4690.0,4690.0,43.0
5194.0,4173.0,42.1
4173.0,4175.0,38.5
4175.0,4172.0,38.5
4679.0,4670.0,38.3
4652.0,4652.0,38.1
4679.0,4682.0,36.5
4679.0,4174.0,36.0
4679.0,4695.0,34.5
4175.0,4175.0,34.5
4787.0,4779.0,34.0
4796.0,4796.0,33.3
4176.0,4173.0,32.5
4172.0,4682.0,32.5
4690.0,4172.0,32.4
4795.0,4790.0,31.8
4678.0,4172.0,31.5
4781.0,4781.0,29.5
4176.0,4174.0,29.5
5642.0,4172.0,29.5
4679.0,4170.0,29.4
4175.0,4173.0,29.0
4681.0,4681.0,29.0
5181.0,4173.0,28.6
5194.0,4176.0,28.6
4173.0,4174.0,28.1
4776.0,4777.0,28.0
4670.0,4679.0,27.8
4781.0,4776.0,27.3
4173.0,4176.0,27.0
4768.0,4771.0,26.6
4976.0,4976.0,26.5
5642.0,4173.0,26.5
4170.0,4172.0,26.0
4695.0,4695.0,26.0
4679.0,4673.0,25.8
4714.0,4173.0,25.6
4967.0,4969.0,25.6
4177.0,4172.0,25.5
4172.0,4170.0,25.4
4790.0,4795.0,25.3
4181.0,4172.0,25.3
4658.0,4652.0,24.8
4695.0,4679.0,24.5
5194.0,4170.0,24.4
4663.0,4172.0,24.3
4174.0,4173.0,24.1
4173.0,4679.0,24.1
4787.0,4879.0,24.1
4777.0,4776.0,24.0
4308.0,4652.0,24.0
4694.0,4695.0,23.9
4882.0,4879.0,23.6
4779.0,4787.0,23.5
4174.0,4174.0,23.5
4776.0,4781.0,23.3
4682.0,4172.0,23.3
4170.0,4652.0,23.3
4652.0,4658.0,23.1
4694.0,4172.0,23.0
4682.0,4679.0,23.0
4679.0,4666.0,22.8
4704.0,4172.0,22.6
4679.0,4652.0,22.5
4679.0,4696.0,22.3
4681.0,4172.0,22.0
4770.0,4770.0,22.0
