homeCity,vmt_per_capita_by_city
Carlsbad,21.1
Chula Vista,16.5
Coronado,17.6
Del Mar,24.2
El Cajon,15.6
Encinitas,22.1
Escondido,16.8
Imperial Beach,16.2
La Mesa,17.3
Lemon Grove,16.4
National City,13.1
Oceanside,17.7
Poway,21.5
San Diego,17.6
San Marcos,17.5
Santee,20.8
Solana Beach,23.5
Unincorporated,26.4
Vista,16.0
