origin,destination,count
,,1503886.6
15300.0,15300.0,13892.0
15304.0,15304.0,11482.4
7090.0,7090.0,11363.6
7521.0,7521.0,6939.4
15305.0,15305.0,4160.0
15304.0,15300.0,3837.8
15300.0,15304.0,3782.6
3017.0,3017.0,3273.7
6866.0,7090.0,3193.8
7090.0,6866.0,3146.6
6854.0,7090.0,3134.2
2096.0,2096.0,3111.7
7090.0,6854.0,2958.3
5642.0,5642.0,2486.0
2095.0,2095.0,2168.0
4172.0,4172.0,2110.9
7090.0,7088.0,2024.7
22840.0,22840.0,1978.1
1070.0,1070.0,1955.7
7088.0,7090.0,1926.9
4173.0,4173.0,1843.9
7066.0,6935.0,1773.9
7046.0,7066.0,1772.6
6935.0,7066.0,1765.3
7066.0,7046.0,1763.9
15305.0,15304.0,1677.1
7090.0,6967.0,1644.4
6967.0,7090.0,1636.6
7087.0,7090.0,1530.5
4170.0,4170.0,1467.0
15304.0,15305.0,1460.6
15307.0,15307.0,1416.7
7090.0,7087.0,1409.0
8729.0,8729.0,1388.0
219.0,219.0,1368.5
2095.0,2096.0,1162.6
2096.0,2095.0,1136.8
7053.0,7066.0,1135.1
6276.0,6281.0,1133.6
15300.0,15307.0,1121.5
15307.0,15300.0,1115.1
7066.0,7053.0,1087.8
8167.0,7090.0,1073.1
7090.0,8167.0,1057.2
15303.0,15300.0,1024.4
22840.0,2096.0,1018.1
15300.0,15303.0,1013.2
6281.0,6276.0,964.0
15301.0,2997.0,956.0
2997.0,15301.0,956.0
10935.0,10935.0,952.4
2726.0,2726.0,951.9
11902.0,11902.0,926.4
7066.0,7066.0,910.0
7084.0,7090.0,904.1
2096.0,22840.0,892.8
4690.0,4690.0,888.4
12172.0,12172.0,885.9
7090.0,7084.0,862.7
8680.0,7066.0,857.2
2751.0,2751.0,835.2
4172.0,4174.0,833.3
7143.0,7143.0,831.6
8506.0,8506.0,823.3
3044.0,3044.0,818.7
7090.0,6964.0,818.6
5845.0,5845.0,801.8
4174.0,4172.0,784.4
8167.0,8167.0,776.6
7090.0,2751.0,776.4
7066.0,8680.0,770.9
7090.0,7143.0,770.3
8399.0,8399.0,763.4
6864.0,7090.0,758.1
14936.0,14936.0,754.4
4441.0,4441.0,747.4
7066.0,8444.0,732.1
7143.0,7090.0,729.6
11073.0,11073.0,726.3
2751.0,7090.0,724.2
14776.0,14776.0,707.3
7061.0,15301.0,702.0
15301.0,7061.0,702.0
6854.0,6866.0,697.4
6281.0,6281.0,695.9
7090.0,6864.0,694.7
18448.0,18448.0,691.4
18576.0,18576.0,675.1
7066.0,6999.0,674.9
8444.0,7066.0,674.4
6964.0,7090.0,672.3
18314.0,18314.0,669.9
7066.0,6991.0,666.8
2623.0,2623.0,663.4
4173.0,4172.0,660.7
6999.0,7066.0,659.5
6991.0,7066.0,646.2
12553.0,12553.0,644.4
5599.0,5599.0,634.3
