origin,destination,count
2215,2215,1411.0069858
2236,2215,1320.58274344
2239,2215,940.8832334
2264,2215,904.6117764
2283,2215,838.018962
2258,2215,680.8892216
2157,2215,671.7844312
2510,2215,584.3892216
2213,2215,550.0928144000001
2129,2215,542.8892215
2247,2215,538.4600798
2252,2215,536.3862275
2086,2215,534.8892216
2199,2215,533.73044814
2202,2215,522.8862276
2254,2215,497.1576846
2265,2215,460.83523854000003
2121,2215,452.8612774
2282,2215,449.6916168
2269,2215,424.9940119
2173,2215,423.1886228
2028,2215,420.1886228
2292,2215,418.8183632
2270,2215,385.5618762
2156,2215,379.53583744
2160,2215,376.6916168
2166,2215,365.491018
2153,2215,355.6237525
2163,2215,319.1916168
2512,2215,317.6297405
2272,2215,315.494012
2009,2215,312.9291417
2127,2215,311.2934132
2249,2215,308.3243513
2061,2215,302.2255489
1923,2215,301.2964072
2250,2215,298.3952096
2253,2215,291.4261477
2172,2215,281.5249501
2170,2215,279.7255489
2227,2215,274.4261477
2137,2215,268.9660678
3325,2215,255.7315369
2284,2215,249.7934132
3153,2215,246.7964072
2113,2215,244.0249501
2058,2215,227.7285429
2248,2215,227.262475
2547,2215,225.497006
2311,2215,220.9291417
2198,2215,219.0279441
2149,2215,215.7255489
2043,2215,215.5958084
1981,2215,215.3952096
1966,2215,207.762475
2142,2215,204.4291417
2357,2215,203.5928144
2305,2215,202.7285429
2069,2215,197.5249501
2049,2215,197.4291417
2242,2215,194.497006
2257,2215,182.5309381
2544,2215,177.7964072
2218,2215,173.7964072
2030,2215,173.7934131
2266,2215,170.1976048
2122,2215,168.3303393
2200,2215,167.7994012
2286,2215,166.8982036
2303,2215,165.52794409999998
2091,2215,165.52794409999998
2027,2215,165.4261477
2039,2215,153.494012
2289,2215,150.1297405
2823,2215,148.497006
2070,2215,147.497006
1942,2215,145.994012
2016,2215,144.1946108
2473,2215,143.2964072
1792,2215,139.3982036
2222,2215,138.5958084
2076,2215,136.997006
2099,2215,135.0309381
1650,2215,134.997006
2120,2215,133.8303393
1918,2215,130.8982036
1741,2215,130.7994012
2342,2215,130.2285429
1806,2215,129.8982036
2152,2215,129.2994012
2155,2215,129.1976048
1785,2215,128.7964072
2131,2215,127.5928144
2111,2215,127.0988024
2132,2215,127.0648702
1686,2215,125.7934132
2167,2215,124.997006
2019,2215,124.497006
2445,2215,123.7315369
2119,2215,123.5309381
2627,2215,123.5309381
2618,2215,123.3982036
1969,2215,123.1297405
2134,2215,122.994012
2285,2215,121.6976048
2589,2215,121.3952096
2759,2215,119.8303393
1989,2215,118.8952096
2300,2215,118.5988024
3176,2215,117.6327345
2647,2215,117.5988024
1687,2215,117.5958084
2062,2215,117.2934132
1845,2215,117.0928144
2302,2215,116.9261477
3563,2215,116.8982036
3776,2215,116.2994012
2765,2215,116.2964072
2315,2215,116.0958084
2356,2215,115.997006
2084,2215,114.9291417
2046,2215,113.4291417
2220,2215,112.265469
1822,2215,111.8982036
1910,2215,111.7964072
1853,2215,111.6976048
2074,2215,111.5988024
2056,2215,111.5958084
2083,2215,108.8982036
1889,2215,108.2964072
2639,2215,107.7994012
4341,2215,107.5988024
2364,2215,107.497006
2148,2215,107.265469
2593,2215,106.8982036
2135,2215,106.4291417
2319,2215,106.1976048
2042,2215,105.3982036
2143,2215,104.1976048
1877,2215,104.1946108
1391,2215,103.5988024
2734,2215,103.5
1995,2215,103.0309381
1921,2215,102.497006
2688,2215,101.997006
3518,2215,101.997006
2034,2215,101.497006
1987,2215,101.2994012
1869,2215,101.1976048
2087,2215,101.0958084
2952,2215,100.5
1900,2215,100.497006
2225,2215,100.494012
2194,2215,100.1976048
1986,2215,99.997006
2246,2215,99.8982036
1683,2215,99.6976048
2228,2215,99.5958084
1890,2215,99.0958084
1860,2215,97.997006
2054,2215,97.9291417
2826,2215,97.6976048
2188,2215,97.6327345
2040,2215,97.3952096
1963,2215,97.0958084
2524,2215,96.1976048
2100,2215,95.997006
1866,2215,95.497006
1661,2215,95.0988024
3151,2215,94.9321357
2268,2215,94.7994012
143,2215,94.5988024
3445,2215,93.997006
2387,2215,93.7964072
2067,2215,92.8982036
3366,2215,92.7994012
2018,2215,92.6976048
1903,2215,92.3982036
1904,2215,92.2994012
2380,2215,91.5988024
1728,2215,91.3982036
2960,2215,90.3303393
2610,2215,89.6976048
2423,2215,89.6976048
1799,2215,89.5958084
3094,2215,89.3982036
3392,2215,89.0958084
2195,2215,88.7964072
2614,2215,88.0988024
2051,2215,87.7994012
1774,2215,87.3982036
1032,2215,87.2994012
1859,2215,87.0309381
3635,2215,87.0
1820,2215,86.6976048
1846,2215,86.1976048
2308,2215,85.497006
2576,2215,85.2994012
1902,2215,85.1976048
2650,2215,85.0958084
2116,2215,84.3982036
3446,2215,84.0988024
1398,2215,83.8952096
2201,2215,83.6976048
2791,2215,83.5988024
3173,2215,83.497006
1431,2215,83.1976048
2455,2215,82.5988024
1976,2215,82.5309381
2621,2215,82.497006
2123,2215,82.497006
2328,2215,82.3982036
2817,2215,82.1976048
1760,2215,81.8982036
1855,2215,81.8333333
2774,2215,81.497006
2570,2215,81.2994012
1793,2215,80.7315369
2786,2215,80.2315369
3253,2215,80.0988024
2329,2215,80.0958084
2107,2215,80.0309381
2407,2215,79.8333333
3023,2215,79.5988024
2185,2215,79.2964072
1814,2215,79.2964072
2007,2215,79.1976048
2050,2215,79.0958084
2757,2215,78.8333333
2075,2215,78.7994012
2466,2215,78.5988024
3413,2215,78.5988024
2063,2215,78.2994012
2558,2215,78.1327345
2406,2215,77.997006
1876,2215,77.7315369
2210,2215,76.997006
2489,2215,76.6976048
1943,2215,76.497006
2550,2215,76.2964072
2532,2215,76.0988024
1878,2215,76.0958084
3169,2215,75.7994012
1954,2215,74.7994012
1994,2215,74.7964072
2013,2215,73.994012
3337,2215,73.9321357
3215,2215,73.5988024
1818,2215,73.3982036
1959,2215,73.0988024
2446,2215,73.0988024
1951,2215,73.0988024
1800,2215,73.0988024
1972,2215,72.3982036
1956,2215,72.2994012
2827,2215,72.2964072
1710,2215,72.1976048
2564,2215,72.0988024
2079,2215,71.997006
2839,2215,71.2994012
3317,2215,71.2994012
1288,2215,70.997006
3401,2215,70.7994012
2504,2215,70.7315369
2095,2215,70.0
3959,2215,69.8333333
3181,2215,69.3982036
2590,2215,69.2994012
1828,2215,68.8982036
2379,2215,68.3982036
3398,2215,67.5988024
1872,2215,67.3982036
1784,2215,67.3982036
1726,2215,67.2964072
2291,2215,67.1327345
1970,2215,66.7994012
2984,2215,66.3982036
1817,2215,66.2994012
1932,2215,65.6976048
1452,2215,65.3952096
2503,2215,65.2994012
3315,2215,65.1976048
2331,2215,65.1327345
2001,2215,65.0988024
3515,2215,64.997006
3127,2215,64.8982036
2096,2215,64.7994012
1742,2215,64.7994012
3187,2215,64.5988024
2048,2215,64.3982036
1734,2215,64.3982036
2948,2215,64.2994012
1975,2215,63.997006
3045,2215,63.8982036
2196,2215,63.8982036
1747,2215,63.7994012
1492,2215,63.7315369
2800,2215,63.6976048
1847,2215,63.5988024
3513,2215,63.5
1882,2215,63.2994012
3259,2215,63.2994012
1677,2215,63.2315369
3521,2215,63.0988024
1775,2215,62.8982036
3118,2215,62.7994012
1941,2215,62.5988024
3122,2215,62.5
3390,2215,62.3982036
1533,2215,62.3982036
3312,2215,62.3982036
3375,2215,62.2994012
2598,2215,62.1976048
2915,2215,62.1666666
1635,2215,62.0988024
2000,2215,61.997006
1886,2215,61.997006
2663,2215,61.8982036
2955,2215,61.5988024
1754,2215,61.5
2467,2215,61.2994012
2562,2215,61.1976048
3220,2215,61.0
2609,2215,60.7994012
2794,2215,60.5988024
2735,2215,60.5988024
2275,2215,60.4321357
1663,2215,60.1327345
2234,2215,60.0
2825,2215,59.8982036
1748,2215,59.8982036
1737,2215,59.8982036
2341,2215,59.6976048
4395,2215,59.6976048
2628,2215,59.5
3493,2215,59.2315369
2798,2215,59.1297405
2592,2215,59.0988024
2545,2215,58.7994012
2885,2215,58.7994012
2130,2215,58.6327345
1808,2215,58.5988024
3046,2215,58.3982036
