TAZ,vmt_per_capita_by_taz
13,47.1
14,72.4
15,31.7
16,44.8
17,37.5
18,39.1
19,35.5
20,43.1
21,44.4
22,53.4
23,53.5
25,74.7
27,80.3
28,80.9
29,70.5
30,42.8
31,44.4
32,42.3
33,30.1
34,21.4
35,30.8
36,36.9
37,37.8
38,17.8
39,28.1
40,33.6
41,30.5
42,41.0
44,22.9
45,18.3
46,20.8
47,34.9
48,18.8
49,15.7
50,17.0
51,16.0
52,18.0
53,25.4
54,31.5
55,41.7
56,41.8
57,54.0
58,12.7
59,22.8
61,10.1
62,16.6
63,16.3
64,16.4
65,20.8
66,16.4
67,13.2
68,13.1
69,9.7
70,12.3
71,16.6
72,21.1
73,15.8
74,16.5
75,14.2
76,18.5
77,14.0
78,10.2
79,16.1
80,16.3
81,21.9
82,32.3
83,13.7
84,15.9
85,13.7
86,14.5
87,13.9
88,16.8
89,19.8
90,22.5
91,15.0
92,11.8
93,32.2
94,38.8
95,19.0
96,17.3
97,26.0
98,38.5
99,19.8
100,17.9
101,73.9
102,18.4
103,16.6
104,18.4
105,22.2
106,27.1
107,22.4
108,28.7
109,36.2
110,38.6
111,19.5
112,18.8
113,21.4
114,36.0
115,49.8
116,23.9
117,22.7
118,37.1
119,36.8
120,77.1
121,23.9
122,21.2
124,22.2
125,31.6
128,31.4
129,31.3
130,37.5
131,47.5
132,32.8
133,32.6
134,20.6
135,25.3
136,27.3
137,45.3
138,36.1
139,24.3
140,34.8
141,51.5
143,25.0
144,32.8
145,34.8
147,27.8
150,39.6
151,40.9
152,44.2
153,56.5
154,66.5
158,35.2
159,55.2
161,31.2
162,38.0
164,30.7
166,36.6
167,43.7
168,64.7
169,38.3
170,40.9
171,48.0
172,33.6
173,30.2
174,29.2
175,45.2
176,27.9
177,34.7
178,38.0
179,32.9
180,28.9
181,49.6
182,30.4
183,42.6
184,29.6
185,42.3
186,40.3
187,51.0
188,38.7
189,30.5
190,55.1
191,36.2
192,28.5
193,22.7
195,161.5
196,37.4
197,36.8
198,34.7
199,38.8
200,31.7
201,27.3
202,27.3
203,27.8
205,47.4
206,42.2
207,42.0
208,31.4
209,41.6
210,33.4
211,50.0
212,40.5
213,39.8
214,29.5
215,40.0
216,37.1
217,31.3
218,32.8
219,36.5
220,22.9
221,49.2
222,26.7
223,33.9
224,37.7
225,38.2
226,43.6
227,37.0
228,40.2
229,35.4
231,23.4
232,33.4
233,25.1
234,38.5
235,36.6
236,41.2
237,39.6
238,25.8
239,18.6
240,29.0
241,35.6
242,27.9
243,37.3
244,43.9
245,48.1
246,38.7
247,42.5
249,24.4
250,62.9
251,53.1
252,23.0
253,23.6
254,15.6
255,29.6
256,22.5
257,32.9
258,35.1
259,30.9
260,19.0
261,41.3
262,46.2
263,18.2
264,44.7
265,19.9
266,16.7
267,40.6
268,21.4
269,17.0
270,13.5
271,33.6
272,24.8
273,31.0
274,28.3
275,17.3
276,17.6
277,35.7
278,44.7
279,18.3
280,21.1
281,38.2
282,37.7
283,35.5
284,15.5
285,31.9
288,33.5
289,18.3
290,32.3
291,29.4
293,33.4
294,22.8
295,22.6
296,20.5
297,17.6
298,26.8
299,36.2
300,23.5
301,28.4
302,21.4
304,77.3
305,24.4
307,21.3
308,65.0
309,19.3
310,19.4
311,18.2
312,16.1
313,17.6
314,32.8
315,24.2
317,36.0
318,32.8
319,37.4
320,21.0
321,17.5
322,22.1
323,33.9
324,33.0
325,35.5
326,38.2
327,33.2
328,16.1
329,38.5
330,20.0
331,32.0
332,37.9
333,18.1
334,17.9
335,18.6
336,15.6
337,57.6
339,17.9
340,16.1
341,19.2
342,19.3
343,18.5
344,21.4
345,19.1
346,21.5
347,61.6
348,21.1
349,18.2
350,19.6
352,18.5
353,20.5
354,20.0
355,24.3
357,29.2
358,30.4
359,19.5
360,18.5
362,18.1
363,36.4
364,19.1
365,17.6
366,52.0
367,16.4
368,19.2
369,18.3
370,27.0
371,27.2
372,15.3
373,15.7
374,16.7
375,16.3
376,17.5
377,16.5
379,12.7
380,17.7
381,17.1
382,19.0
383,42.4
384,16.4
385,16.4
386,18.6
387,28.8
389,20.1
390,15.2
391,29.5
392,16.1
393,33.1
394,33.7
395,18.2
396,18.4
397,19.1
398,36.5
399,19.3
400,19.1
401,18.2
402,35.6
404,62.1
405,17.8
406,15.1
407,17.1
408,16.3
409,29.1
411,20.5
413,24.5
414,16.7
415,13.8
416,24.7
417,14.3
418,14.2
419,13.1
420,144.4
421,16.4
422,18.9
423,14.3
424,15.4
425,18.3
426,16.0
428,14.8
431,30.7
432,15.2
433,14.6
435,17.7
436,13.1
438,13.3
439,16.0
440,15.4
444,15.4
445,15.2
446,19.0
447,17.1
448,30.4
449,18.4
450,17.5
451,19.6
452,18.8
453,17.0
454,29.9
455,15.2
456,15.7
457,17.4
459,18.9
460,17.4
461,12.1
462,18.9
465,12.9
466,15.6
467,11.8
468,13.5
470,14.2
471,17.3
472,27.6
473,20.2
474,17.3
475,37.9
476,19.9
477,45.9
478,27.7
479,22.9
480,12.0
481,28.5
482,16.6
484,22.4
485,33.2
486,38.3
487,14.2
