tripPurposeDestination,purpose_counts,purpose_share
Dining,701440.7,5.8
Discretionary,625196.0,5.2
Escort,1518862.5,12.6
Home,3245895.8,26.9
Maintenance,729522.9,6.1
Other,1464203.7,12.2
School,423379.1,3.5
Service,673748.5,5.6
Shop,1184543.3,9.8
Work,1480410.1,12.3
