model,person_trips,vehicle_trips
airportCBX,4900.0,2270.0
airportSAN,48756.0,30218.0
commercialVehicle,1331116.5,1331116.5
crossBorder,428135.0,290456.74867222
externalExternal,20986.59557463,11850.1386903918
externalInternal,225182.62284903566,140297.9815591239
individual,12367759.0,9439224.31342438
internalExternal,142772.0,113915.8563448
joint,1271858.0,518892.00241934997
truck,20622.023585094918,20622.023585094918
visitor,564810.0,148339.0
