origin,destination,count
2215,2199,2901.82915948
2199,2199,2895.78116462
2236,2199,2644.4740518
2254,2199,1206.4051895
2264,2199,1128.4051894
2213,2199,1087.5148793399999
2228,2199,1026.14761374
2239,2199,909.92805294
3403,2199,884.5718563
2204,2199,882.0626926799999
2173,2199,881.0039919999999
2258,2199,835.1177643
2283,2199,822.8482126399999
2157,2199,723.67855194
2202,2199,686.3742515
2252,2199,673.1147704
2510,2199,621.6027945
2086,2199,583.253493
2265,2199,567.60070764
2156,2199,527.021956
