origin,destination,count
4170.0,4170.0,1132.7
4172.0,4172.0,665.0
4679.0,4679.0,343.3
4173.0,4173.0,236.5
4172.0,4170.0,215.3
4170.0,4172.0,190.1
4170.0,4173.0,164.6
4171.0,4170.0,152.9
4170.0,4171.0,152.6
3093.0,4170.0,150.2
4172.0,4174.0,150.1
4174.0,4172.0,137.4
4679.0,4172.0,132.8
4171.0,4171.0,127.2
4173.0,4170.0,117.9
4172.0,4173.0,114.1
4679.0,4170.0,112.7
4695.0,4695.0,111.3
4663.0,4663.0,109.1
4679.0,4663.0,103.9
4173.0,4172.0,103.1
4172.0,4171.0,100.9
4172.0,4679.0,97.1
4795.0,4795.0,96.5
4879.0,4879.0,88.8
4171.0,4172.0,85.0
4170.0,4679.0,82.1
4694.0,4695.0,76.6
4679.0,4695.0,73.5
4776.0,4776.0,73.1
3093.0,4172.0,72.6
4787.0,4787.0,72.0
4682.0,4682.0,72.0
4176.0,4172.0,71.3
4771.0,4771.0,71.0
4779.0,4779.0,69.5
4663.0,4679.0,68.8
4172.0,4176.0,65.7
4690.0,4172.0,65.0
4695.0,4679.0,63.5
4184.0,4172.0,63.0
4796.0,4796.0,59.8
4170.0,4308.0,58.9
4176.0,4176.0,57.9
4184.0,4184.0,57.0
5194.0,4172.0,56.8
4172.0,4682.0,55.6
4694.0,4172.0,52.3
4170.0,4652.0,51.6
4790.0,4790.0,51.5
4174.0,4174.0,51.1
4690.0,4170.0,50.2
4682.0,4172.0,49.8
4679.0,4670.0,49.3
4172.0,4175.0,48.6
4679.0,4171.0,48.3
4694.0,4170.0,47.5
3093.0,4173.0,46.9
5642.0,4170.0,46.1
4307.0,4170.0,46.0
4682.0,4170.0,45.8
4679.0,4661.0,45.7
4170.0,4174.0,45.5
4172.0,4184.0,45.2
4308.0,4170.0,44.8
5194.0,4170.0,44.8
4170.0,4682.0,44.1
4679.0,4677.0,43.5
4690.0,4690.0,43.0
4969.0,4969.0,42.8
4308.0,4308.0,42.8
4677.0,4679.0,42.5
4174.0,4170.0,41.0
4787.0,4796.0,40.5
4171.0,4173.0,40.3
4652.0,4652.0,40.1
5642.0,4172.0,40.1
4679.0,4174.0,39.5
4679.0,4173.0,39.3
4696.0,4696.0,39.0
4797.0,4797.0,38.3
3050.0,4170.0,38.3
5605.0,4170.0,38.1
4670.0,4663.0,37.8
4661.0,4661.0,37.6
4792.0,4792.0,37.3
4679.0,4682.0,37.1
5179.0,4172.0,36.5
4679.0,4696.0,36.0
4714.0,4170.0,36.0
4175.0,4172.0,35.8
4173.0,4171.0,35.7
4781.0,4776.0,35.6
4787.0,4779.0,35.3
4703.0,4703.0,35.0
4670.0,4679.0,35.0
5161.0,4170.0,35.0
4663.0,4670.0,34.6
4703.0,4172.0,34.5
4296.0,4170.0,34.5
