tripPurposeDestination,purpose_counts,purpose_share
Dining,802252.8,5.7
Discretionary,811471.5,5.7
Escort,1615138.5,11.4
Home,3788292.7,26.8
Maintenance,944262.6,6.7
Other,1859049.2,13.2
School,410456.7,2.9
Service,788123.0,5.6
Shop,1531421.3,10.8
Work,1567873.3,11.1
