origin,destination,count
Carlsbad,San Diego,3791.4061882
Chula Vista,San Diego,3268.0638729
Coronado,San Diego,302.1886228
Del Mar,San Diego,608.3862275
El Cajon,San Diego,1547.2335331
Encinitas,San Diego,3525.4031941
Escondido,San Diego,2350.642715
Imperial Beach,San Diego,264.1886228
La Mesa,San Diego,1288.8752497
Lemon Grove,San Diego,374.6826348
National City,San Diego,1133.8013974
Oceanside,San Diego,3024.0499006
Poway,San Diego,1691.5768465
San Diego,San Diego,96694.64879184
San Marcos,San Diego,1760.3512977
Santee,San Diego,1382.7984033
Solana Beach,San Diego,1326.3103793
Unincorporated,San Diego,5784.8792425
Vista,San Diego,1099.9830341
