model,person_trips,vehicle_trips
airportCBX,6134.0,2874.0
airportSAN,91700.0,56816.0
commercialVehicle,1589024.5,1589024.5
crossBorder,565747.0,416902.76838164
externalExternal,29063.127007488,16410.5742465249
externalInternal,344725.8067002226,214840.50912310428
individual,13673747.0,10757458.99939434
internalExternal,167076.0,133234.377322
joint,1604537.0,692851.00248011
truck,49797.777593001505,49797.777593001505
visitor,716620.0,188131.0
