tripMode,Employment Center,Mobility Hub,Region
SOV,62.9,36.0,52.5
HOV,8.2,17.3,20.7
Transit,15.8,11.8,6.3
Truck,,,3.2
Non-Motorized,12.3,30.7,14.8
Other,0.8,4.1,2.5
