origin,destination,count
,,1870073.4
8511.0,8511.0,19018.3
7090.0,7090.0,18207.4
3093.0,3093.0,16419.4
15300.0,15300.0,14377.2
15304.0,15304.0,10824.4
2095.0,2095.0,9765.0
7521.0,7521.0,6834.6
4170.0,4170.0,6192.4
19213.0,19213.0,5171.0
6854.0,7090.0,4972.4
7090.0,6854.0,4915.8
15305.0,15305.0,4428.5
7114.0,7066.0,4219.7
7066.0,7114.0,4077.7
15300.0,15304.0,3735.4
15304.0,15300.0,3609.7
4172.0,4172.0,3604.0
6866.0,7090.0,3599.7
7090.0,6866.0,3598.6
2689.0,2689.0,3476.5
3017.0,3017.0,3411.6
7066.0,8511.0,3353.8
8511.0,7066.0,3338.6
11883.0,11883.0,3208.0
5642.0,5642.0,3001.8
7088.0,7090.0,2995.8
7090.0,7088.0,2927.0
3050.0,3050.0,2900.1
5873.0,5873.0,2477.5
3044.0,3044.0,2446.4
2096.0,2096.0,2435.9
3093.0,3050.0,2257.7
3050.0,3093.0,2195.4
7114.0,7114.0,2192.2
8511.0,8520.0,2104.8
22840.0,22840.0,2080.2
5605.0,5605.0,2054.7
1070.0,1070.0,1975.9
2095.0,2096.0,1917.6
7632.0,7632.0,1861.3
8511.0,8470.0,1857.0
8520.0,8511.0,1821.0
19018.0,19018.0,1814.5
2096.0,2095.0,1810.5
18576.0,18576.0,1755.8
8453.0,8453.0,1749.2
12172.0,12172.0,1726.8
8507.0,8511.0,1725.3
15301.0,2997.0,1719.0
2997.0,15301.0,1719.0
4173.0,4173.0,1707.3
7090.0,8511.0,1706.3
7087.0,7090.0,1702.1
8511.0,8507.0,1699.9
5161.0,5161.0,1687.7
8511.0,7090.0,1600.1
8470.0,8511.0,1583.9
7090.0,7087.0,1578.0
7066.0,7102.0,1569.8
3093.0,3017.0,1511.1
7102.0,7066.0,1502.1
3017.0,3093.0,1495.2
8057.0,7090.0,1383.8
18314.0,18314.0,1366.1
4172.0,4170.0,1361.3
8509.0,8511.0,1343.3
7113.0,7066.0,1321.2
4170.0,4172.0,1306.8
6967.0,7090.0,1298.1
15305.0,15304.0,1295.4
7119.0,7066.0,1293.2
8470.0,8470.0,1287.0
7090.0,6967.0,1283.1
4690.0,4690.0,1273.1
6528.0,6528.0,1269.3
7066.0,7113.0,1241.2
4170.0,4173.0,1238.3
4679.0,4679.0,1220.7
4173.0,4170.0,1211.5
8511.0,8509.0,1208.2
7090.0,8057.0,1189.1
6978.0,6978.0,1187.9
19191.0,19213.0,1183.1
7066.0,7119.0,1171.9
6276.0,6281.0,1170.7
5599.0,5599.0,1159.6
15304.0,15305.0,1159.0
7066.0,6935.0,1157.5
7090.0,8167.0,1147.4
5604.0,5604.0,1143.6
6864.0,7090.0,1143.5
19213.0,19191.0,1131.8
8729.0,8729.0,1121.9
18610.0,18610.0,1110.8
8167.0,7090.0,1109.8
6935.0,7066.0,1094.8
8453.0,8511.0,1093.8
8058.0,8058.0,1081.7
8511.0,8506.0,1078.8
