TAZ,vmt_per_capita_by_taz
394,31.0
395,16.5
396,16.1
397,16.5
398,32.1
399,19.0
400,17.8
401,17.3
402,37.3
404,59.4
405,16.1
406,13.1
407,13.7
408,16.2
409,27.9
410,17.6
411,15.9
413,23.7
414,17.3
415,11.7
416,26.9
417,12.8
418,12.1
419,12.9
420,142.7
421,15.1
422,18.0
423,14.8
424,15.3
425,16.4
426,12.8
428,16.0
429,14.9
431,31.0
432,14.1
433,15.0
435,16.0
436,12.9
438,13.6
439,15.5
440,15.5
444,15.3
445,18.0
446,15.9
447,19.7
448,29.2
449,18.0
450,18.9
451,16.8
452,15.7
453,14.9
454,25.9
455,14.4
456,14.5
457,15.4
459,14.9
460,15.3
461,11.8
462,18.9
465,11.9
466,16.2
467,11.5
468,11.3
470,11.4
471,15.8
472,22.6
473,25.6
474,14.7
476,19.2
477,31.7
478,26.5
479,23.1
480,10.6
481,25.2
482,12.5
484,14.5
485,28.6
486,34.4
487,13.6
488,24.1
489,16.5
490,11.0
491,19.4
492,35.1
494,13.3
495,13.8
496,14.6
497,13.9
499,13.8
500,22.1
503,14.2
505,11.3
506,14.5
507,16.4
508,15.2
509,8.1
510,29.6
511,10.1
512,52.2
513,12.7
515,11.5
516,10.6
517,19.6
518,12.9
519,14.4
520,12.1
521,13.8
522,52.4
523,15.3
525,14.3
526,14.1
527,31.8
528,28.9
529,16.0
530,12.1
531,12.3
532,11.8
533,14.2
534,14.4
535,11.5
536,15.0
537,13.7
538,12.0
539,16.2
540,11.3
541,17.1
542,11.6
543,13.4
544,15.9
545,13.7
546,11.1
547,10.3
548,10.8
550,16.3
551,39.9
552,11.5
554,35.0
556,19.1
557,11.0
558,11.6
559,14.6
560,15.1
561,10.6
562,16.9
563,8.3
564,49.8
565,16.9
566,13.2
567,11.8
568,47.7
569,10.9
570,15.0
571,10.9
573,18.7
574,11.4
575,16.5
576,12.0
577,13.4
578,11.1
579,13.5
580,12.2
581,12.5
582,27.6
583,18.6
584,14.6
585,10.2
586,15.7
587,13.5
588,10.2
589,12.4
590,14.7
591,17.3
592,9.1
593,15.7
594,13.0
595,11.1
596,36.0
597,36.6
598,15.8
599,15.5
600,14.7
601,11.5
604,26.3
605,15.0
606,10.8
607,14.6
608,14.9
609,9.5
610,12.4
611,36.2
612,12.7
613,12.5
614,13.1
615,15.2
616,52.4
617,9.4
618,14.6
619,13.7
620,12.0
621,15.8
622,9.9
623,15.9
624,15.4
625,23.2
626,16.7
627,11.8
628,15.5
629,26.3
630,12.2
631,18.6
632,16.9
633,12.6
634,16.2
635,9.0
636,12.1
637,21.4
638,16.7
639,14.7
640,14.0
641,12.8
642,14.6
643,12.1
644,12.8
645,17.1
646,10.3
647,16.4
648,15.5
649,17.1
650,13.8
651,24.2
652,14.9
653,13.3
654,16.3
655,15.8
656,18.6
657,13.7
658,18.0
659,17.4
660,13.1
662,18.1
663,16.9
664,15.1
665,16.0
666,17.7
667,13.7
668,9.9
669,9.6
670,18.2
671,18.1
672,15.2
673,17.5
674,9.6
675,14.6
676,14.2
677,15.4
678,17.6
679,12.2
680,13.8
681,13.3
682,23.6
684,15.9
686,17.4
687,14.9
688,14.9
690,16.6
691,13.6
692,13.4
693,13.7
694,18.9
695,17.4
697,15.8
698,18.0
699,9.4
700,19.1
701,22.0
703,23.9
706,13.7
708,14.9
710,28.4
711,24.3
712,13.4
713,18.2
714,23.0
715,19.2
716,16.2
717,12.7
719,22.7
720,15.6
721,20.5
722,16.7
723,5.8
724,13.9
725,12.4
726,14.0
727,31.8
728,12.6
729,13.7
730,16.5
731,17.2
732,18.8
733,15.8
734,17.2
737,17.4
738,52.4
739,20.0
740,9.3
741,19.2
742,13.0
743,18.1
744,16.5
745,14.4
746,15.0
747,15.6
748,16.5
749,13.7
750,29.5
751,15.6
752,20.2
753,17.0
754,21.2
755,16.2
756,35.8
757,20.4
759,9.2
760,25.0
761,17.4
762,15.3
763,16.7
764,15.7
765,16.3
766,17.4
767,18.4
768,18.3
769,18.2
770,17.9
771,16.2
772,17.3
773,19.2
774,18.1
775,16.7
776,11.0
777,21.5
778,16.5
779,17.2
780,21.0
781,16.3
782,15.6
783,12.8
784,10.8
785,16.0
786,16.0
788,20.9
789,17.9
790,14.7
791,19.6
792,18.1
793,12.1
794,19.2
795,18.3
796,16.5
797,22.2
798,19.7
799,14.1
800,20.8
801,15.8
802,31.8
803,19.6
804,19.7
805,17.7
806,18.2
807,22.1
808,12.9
809,13.1
810,71.3
811,29.4
812,16.4
813,15.2
814,16.6
815,19.0
816,18.1
817,13.6
818,12.6
819,15.8
820,16.5
821,17.7
822,16.4
823,14.3
824,16.3
825,19.7
826,13.8
827,17.7
828,13.2
829,12.6
830,19.6
831,15.6
832,16.3
833,18.3
834,15.0
835,13.3
836,18.0
837,18.9
838,15.8
839,14.6
840,17.3
841,12.8
842,13.7
843,14.1
844,16.2
845,15.6
846,16.6
847,14.8
848,16.4
849,13.1
850,14.3
851,16.8
852,17.1
853,19.7
854,17.5
855,13.7
856,19.3
857,16.2
858,9.9
859,14.0
860,2.9
861,19.5
862,17.3
863,15.7
864,16.8
865,16.2
866,15.2
867,14.3
869,16.4
870,14.8
871,12.4
873,18.6
874,17.4
875,19.7
876,17.3
877,16.0
878,19.5
879,15.5
880,14.2
881,14.1
882,17.0
883,18.5
884,19.2
885,17.4
886,17.9
887,15.9
888,14.8
889,14.8
890,14.8
891,17.0
892,13.4
893,17.4
894,13.6
895,14.8
896,16.8
897,14.3
898,11.8
899,14.6
900,14.9
901,19.5
902,27.5
903,15.6
904,19.1
905,17.2
906,15.0
908,15.1
909,16.3
910,18.0
911,13.5
912,18.4
913,15.7
914,16.1
915,13.9
916,13.3
918,13.6
919,17.1
920,18.6
921,15.8
922,15.0
924,16.8
926,14.9
928,33.1
929,16.8
930,12.5
932,14.8
933,18.2
934,11.3
935,14.8
936,14.0
937,16.4
938,20.0
939,19.0
940,16.7
941,14.2
942,14.8
943,15.9
945,16.3
946,17.9
947,14.9
948,14.8
949,13.4
950,10.7
952,16.8
953,13.6
954,15.8
955,15.7
956,16.6
958,13.8
960,12.3
962,14.8
963,10.2
964,11.8
966,22.5
967,11.4
970,35.0
971,18.8
972,12.6
974,15.4
975,15.8
976,15.8
977,10.9
978,14.7
979,14.9
980,11.0
983,19.6
984,13.1
987,13.5
988,13.8
989,13.5
990,13.3
991,11.3
993,3.2
995,9.4
996,15.4
999,13.5
1001,10.9
1003,13.6
1004,19.8
1006,13.3
1007,9.9
1008,7.9
1009,10.3
1010,10.2
1011,13.6
1012,7.0
1013,9.3
1014,14.9
1015,12.0
1017,11.1
1019,11.7
1020,9.5
1021,11.5
1022,12.4
1023,12.3
1024,12.9
1026,14.8
1027,27.0
1030,10.2
1031,13.7
1033,13.1
1034,11.5
1035,12.1
1036,16.9
1038,10.3
1039,18.0
1040,15.4
1041,10.7
1042,10.1
1044,18.1
1045,16.5
1046,17.2
1047,11.2
1048,9.8
1053,11.8
1054,11.7
1055,17.3
1056,13.3
1058,5.9
1059,13.6
1060,13.5
1061,10.1
1062,9.1
1063,11.7
1064,19.0
1066,12.2
1067,5.0
1069,13.7
1071,18.6
1072,27.6
1073,19.6
1074,12.5
1075,14.4
1076,11.2
1077,14.4
1079,11.1
1081,16.3
1082,13.8
1083,2.3
1084,14.5
1085,10.5
1087,69.2
1089,10.0
1090,19.2
1091,9.8
1092,16.7
1094,15.2
1095,8.2
1097,22.5
1098,10.7
1101,17.5
1102,8.9
1103,12.6
1104,15.2
1106,20.4
1107,13.2
1108,7.5
1110,14.7
1113,9.7
1114,11.5
1115,88.5
1116,10.0
1117,13.0
1118,8.3
1120,15.8
1122,10.5
1123,8.5
1124,18.7
1126,17.0
1127,8.3
1128,10.9
1129,12.1
1130,22.8
1131,7.2
1132,24.3
1133,8.2
1134,9.5
1135,11.5
1136,16.0
1137,15.0
1138,13.5
1139,17.0
1140,14.1
1141,8.2
1142,12.1
1145,19.0
1146,17.8
1147,16.8
1148,7.5
1149,11.1
1150,16.4
1151,7.7
1152,7.4
1153,7.0
1154,15.5
1156,12.8
1158,17.7
1159,19.5
1161,19.3
1162,17.4
1163,6.3
1164,18.7
1165,6.8
1166,7.7
1167,12.1
1168,12.3
1169,17.7
1171,5.4
1172,12.1
1174,15.4
1175,17.7
1176,14.6
1177,19.8
1178,10.6
1180,34.4
1181,15.0
1182,19.5
1183,7.2
1184,17.1
1185,22.1
1189,6.8
1190,12.5
1191,21.1
1192,16.9
1193,11.4
1194,18.4
1195,24.1
1196,7.5
1197,17.7
1198,14.1
1199,41.5
1200,6.5
1201,19.0
1202,15.4
1203,9.6
1204,43.2
1206,14.8
1207,17.6
1208,17.4
1209,17.7
1210,12.8
1211,6.5
1214,7.3
1215,18.8
1216,21.0
1217,30.3
1218,56.5
1219,64.2
1220,12.4
1222,7.1
1224,10.6
1225,8.8
1227,21.7
1228,10.3
1229,10.6
1230,15.2
1232,21.7
1233,17.4
1234,21.8
1236,22.8
1237,12.1
1238,26.5
1239,12.4
1241,14.8
1242,12.1
1243,10.3
1244,11.8
1245,20.4
1246,17.6
1247,12.8
1248,10.6
1249,17.0
1250,20.5
1251,21.6
1252,11.1
1253,10.7
1254,19.7
1255,25.4
1256,20.8
1257,13.8
1258,19.2
1259,15.1
1260,17.9
1261,20.9
1262,8.2
1263,12.8
1264,21.7
1265,14.3
1266,17.1
1267,28.9
1268,12.4
1269,27.9
1270,11.8
1272,14.6
1273,21.1
1274,22.9
1275,17.1
1276,15.6
1277,15.2
1278,13.1
1279,20.9
1280,17.2
1281,13.6
1282,21.3
1283,22.1
1284,22.1
1285,15.2
1286,21.8
1287,19.5
1288,21.9
1289,14.3
1290,19.0
1291,12.9
1292,12.9
1293,20.3
1294,19.7
1295,16.9
1296,17.9
1297,16.0
1298,16.6
1299,21.4
1300,13.8
1301,11.9
1302,13.6
1303,17.5
1304,20.7
1305,21.2
1306,15.0
1307,15.3
1308,22.1
1309,14.6
1310,20.3
1311,17.6
1312,22.2
1313,12.6
1315,41.0
1316,16.5
1317,21.0
1319,17.6
1320,19.5
1321,21.2
1322,20.1
1323,18.5
1324,21.2
1325,22.1
1326,21.2
1327,16.2
1328,18.5
1329,13.5
1330,18.1
1331,15.0
1332,22.0
1333,16.8
1334,20.7
1335,15.7
1336,20.8
1337,20.6
1338,23.4
1339,15.4
1340,30.1
1341,21.1
1342,18.6
1343,17.3
1344,42.7
1345,22.7
1346,17.6
1347,18.0
1348,20.2
1349,23.9
1350,16.6
1351,20.3
1352,23.2
1353,17.3
1354,26.0
1355,19.6
1356,24.1
1357,19.9
1358,20.8
1359,19.0
1360,24.9
1362,22.4
1363,21.0
1364,25.0
1365,18.6
1368,18.6
1369,17.5
1370,29.9
1371,19.2
1372,23.9
1373,22.9
1375,25.5
1376,23.3
1377,34.2
1378,21.2
1379,21.6
1380,36.0
1381,12.6
1382,23.5
1384,24.7
1385,18.6
1386,14.5
1387,21.4
1389,21.9
1390,23.5
1391,20.3
1392,22.3
1393,18.0
1394,20.3
1395,21.8
1396,25.2
1397,20.2
1398,21.3
1399,37.5
1400,18.2
1401,23.7
1402,18.7
1403,19.5
1404,18.1
1405,18.8
1406,21.7
1407,22.1
1408,40.4
1409,22.1
1410,21.4
1411,33.1
1412,32.8
1413,22.1
1414,21.9
1415,24.1
1416,21.9
1417,23.4
1418,20.0
1419,20.0
1420,39.1
1421,15.9
1422,23.1
1423,17.2
1424,17.8
1425,30.4
1426,20.8
1427,14.1
1428,18.6
1429,21.6
1430,16.9
1431,21.3
1433,16.9
1435,22.9
1436,20.0
1437,39.1
1438,18.5
1439,20.9
1442,32.1
1443,25.9
1444,23.1
1445,17.3
1447,16.2
1449,14.7
1450,15.9
1451,16.1
1452,18.7
1453,18.6
1455,26.9
1456,16.8
1457,21.2
1458,21.9
1460,28.3
1461,42.2
1462,32.7
1463,18.5
1464,18.1
1465,19.0
1466,24.7
1467,27.7
1468,16.8
1469,16.3
1470,29.7
1471,52.9
1472,27.1
1473,20.2
1474,27.5
1475,28.1
1476,20.1
1477,24.0
1478,20.1
1479,25.4
1481,39.8
1482,23.1
1483,19.0
1484,20.6
1485,26.8
1486,20.6
1487,36.2
1488,18.0
1490,16.6
1491,16.8
1492,18.9
1494,17.1
1495,21.9
1496,19.7
1497,23.2
1498,17.4
1499,25.2
1500,28.5
1501,16.3
1502,25.9
1503,17.1
1504,26.1
1505,17.5
1506,20.7
1507,20.1
1509,25.1
1510,20.4
1511,21.7
1512,21.0
1513,16.3
1514,23.0
1515,27.5
1516,16.1
1517,22.7
1518,16.3
1519,17.8
1520,15.5
1521,17.7
1522,27.5
1523,28.4
1525,18.7
1526,30.1
1527,26.2
1528,17.2
1529,36.9
1530,30.9
1531,16.3
1532,6.5
1533,12.8
1534,15.1
1535,15.6
1538,22.5
1539,10.0
1540,22.9
1541,25.2
1542,25.7
1543,26.8
1544,28.4
1545,21.5
1546,13.2
1547,22.0
1548,19.4
1549,18.8
1552,25.0
1553,18.6
1554,21.2
1555,21.3
1556,20.9
1557,16.3
1558,20.7
1559,23.9
1560,27.8
1561,24.9
1562,21.8
1563,27.7
1564,16.1
1565,18.2
1566,16.3
1567,20.2
1568,25.0
1569,13.9
1570,14.1
1571,15.1
1572,21.1
1573,14.1
1574,20.3
1575,30.0
1576,23.3
1577,23.3
1578,28.2
1580,30.9
1581,26.9
1582,20.7
1583,23.3
1584,24.9
1585,23.0
1586,19.8
1587,18.9
1588,23.0
1589,22.5
1590,22.6
1591,18.8
1593,20.0
1594,15.9
1595,15.8
1596,20.5
1597,26.9
1598,20.1
1599,24.2
1600,21.6
1601,23.0
1602,23.2
1603,22.2
1604,21.1
1605,20.7
1606,23.4
1607,20.5
1608,20.9
1609,32.7
1610,21.2
1611,34.1
1612,24.7
1613,15.0
1614,37.6
1615,20.1
1616,17.6
1617,17.7
1618,18.5
1619,19.6
1620,22.9
1621,30.2
1622,18.2
1623,22.7
1624,30.2
1625,24.7
1626,21.4
1627,23.1
1628,28.1
1629,23.8
1630,18.0
1631,29.6
1632,18.6
1633,25.6
1634,21.8
1635,19.0
1636,38.1
1637,29.5
1638,23.5
1639,22.6
1640,22.2
1641,37.4
1642,18.7
1643,32.1
1644,23.5
1645,22.8
1646,18.0
1647,18.7
1648,16.8
1649,16.8
1650,20.0
1651,21.5
1652,20.0
1653,21.5
1654,19.9
1655,27.4
1656,19.0
1657,52.3
1658,18.8
1659,18.9
1660,26.8
1661,16.9
1662,34.4
1663,17.7
1664,26.8
1665,14.9
1666,51.5
1667,50.4
1668,22.7
1669,25.5
1670,26.1
1672,27.4
1673,29.7
1675,12.4
1676,25.1
1677,18.9
1679,29.0
1680,17.5
1681,20.0
1682,17.9
1683,19.9
1684,19.1
1685,28.8
1686,25.3
1687,22.7
1688,18.9
1689,24.9
1690,29.1
1692,25.2
1693,20.6
1694,16.7
1695,18.6
1696,36.9
1697,23.1
1698,18.9
1700,24.3
1701,37.5
1702,20.8
1703,29.4
1704,19.6
1705,76.5
1706,20.7
1707,19.6
1708,24.3
1709,23.3
1711,20.3
1712,19.1
1713,19.8
1714,36.3
1715,26.5
1716,21.1
1717,20.4
1718,19.6
1719,20.8
1721,37.0
1722,35.2
1723,26.1
1724,28.1
1725,38.8
1726,22.5
1727,32.6
1728,20.3
1730,20.5
1731,20.8
1732,37.7
1733,20.0
1734,22.6
1735,23.5
1736,32.1
1737,24.3
1738,28.7
1739,21.9
1740,21.1
1741,19.0
1742,18.8
1743,20.0
1744,22.8
1745,36.7
1746,18.9
1747,20.9
1748,26.6
1749,27.4
1750,38.0
1751,29.7
1752,28.3
1753,33.7
1754,21.8
1755,20.5
1756,18.2
1757,19.0
1758,20.6
1759,38.8
1760,25.7
1761,37.7
1762,21.1
1763,23.5
1764,18.8
1765,18.6
1767,25.8
1768,31.0
1769,29.6
1771,22.2
1773,18.0
1774,27.0
1775,21.5
1776,20.6
1777,22.2
1778,19.2
1779,12.4
1782,20.0
1783,19.6
1784,24.8
1785,18.5
1786,21.6
1787,23.0
1788,23.2
1789,25.2
1790,41.7
1791,36.2
1793,19.3
1795,17.6
1796,28.8
1797,20.2
1798,20.7
1799,19.8
1800,20.3
1801,18.2
1802,18.5
1803,20.4
1804,26.2
1805,26.2
1806,19.6
1807,21.9
1808,20.4
1809,28.6
1810,26.8
1812,19.7
1814,24.3
1815,20.3
1818,20.3
1819,26.2
1820,28.2
1821,70.6
1822,19.6
1823,20.3
1824,19.2
1825,23.6
1826,25.9
1827,19.0
1828,21.0
1829,21.3
1830,20.9
1831,25.9
1832,19.1
1833,22.2
1834,19.1
1835,23.2
1836,31.0
1837,25.4
1839,20.4
1840,21.7
1841,21.8
1842,28.1
1843,20.5
1844,22.4
1845,23.2
1846,22.2
1847,23.3
1848,19.7
1849,24.3
1850,21.6
1851,22.1
1852,21.9
1853,23.9
1854,19.4
1855,26.8
1856,23.2
1857,20.2
1858,18.2
1859,22.0
1860,26.5
1862,23.0
1863,19.3
1864,22.9
1865,21.5
1866,20.7
1867,21.6
1868,30.7
1869,24.5
1870,20.9
1871,23.1
1872,17.3
1873,18.9
1874,19.9
1875,18.9
1876,26.5
1877,25.2
1878,20.9
1879,22.4
1880,22.6
1882,22.9
1883,19.8
1884,20.6
1885,24.0
1886,22.4
1887,22.8
1888,16.7
1889,23.3
1890,25.4
1891,28.7
1892,32.1
1893,22.7
1894,21.6
1895,20.9
1896,20.9
1897,22.0
1898,17.7
1899,65.3
1900,21.1
1901,19.7
1902,19.4
1903,18.7
1904,18.1
1906,17.3
1907,21.6
1908,18.4
1909,22.6
1910,22.2
1911,17.8
1912,18.4
1913,20.4
1914,22.3
1915,22.1
1917,18.7
1918,17.9
1921,20.6
1922,16.6
1923,18.8
1924,23.1
1925,12.6
1926,16.6
1927,17.7
1928,17.4
1929,16.8
1930,17.8
1931,20.2
1932,22.1
1933,19.7
1934,24.2
1935,30.5
1936,17.2
1937,19.7
1938,18.6
1939,22.1
1940,19.7
1941,24.7
1942,17.9
1943,25.3
1944,22.1
1946,22.9
1948,17.5
1949,26.4
1950,18.4
1951,18.6
1952,26.5
1953,21.3
1954,20.8
1955,20.1
1956,20.2
1957,18.3
1958,23.1
1959,23.5
1960,21.2
1961,18.2
1962,23.2
1963,25.8
1965,20.8
1966,18.4
1967,22.4
1969,21.8
1970,19.8
1971,17.6
1972,21.8
1974,22.5
1975,21.1
1976,22.5
1978,26.0
1979,17.8
1980,39.5
1981,18.8
1983,22.8
1986,21.5
1987,24.2
1988,75.9
1989,25.0
1990,36.3
1991,24.3
1994,22.1
1995,21.6
1998,20.4
1999,27.2
2000,22.7
2001,19.0
2002,23.4
2005,19.6
2006,22.2
2007,19.6
2009,23.9
2011,22.6
2012,22.7
2013,18.8
2014,16.2
2015,21.3
2016,18.5
2017,24.0
2018,22.1
2019,21.9
2020,22.8
2021,20.7
2022,19.1
2023,23.3
2024,24.1
2025,22.3
2026,20.9
2027,18.5
2028,20.2
2029,24.6
2030,16.1
2031,24.8
2032,22.4
2033,17.1
2035,30.0
2037,76.4
2038,23.4
2039,21.5
2040,20.9
2041,22.8
2042,16.8
2043,16.2
2044,17.1
2045,17.1
2046,21.7
2047,24.4
2048,15.9
2049,17.7
2050,19.0
2052,21.6
2053,23.9
2054,21.2
2055,23.0
2056,18.3
2058,22.7
2059,18.2
2060,25.1
2061,20.4
2062,24.0
2063,16.5
2064,21.2
2065,12.7
2066,26.0
2068,14.7
2069,17.5
2070,15.3
2071,15.7
2073,21.9
2074,16.3
2075,15.9
2076,16.8
2077,17.3
2078,18.5
2079,15.2
2080,18.2
2081,22.4
2084,9.5
2085,24.8
2087,21.9
2088,16.4
2089,51.0
2090,17.9
2092,19.9
2093,46.6
2095,15.4
2096,16.9
2099,15.1
2100,16.4
2101,57.6
2102,22.3
2104,19.1
2105,19.2
2106,23.2
2107,17.8
2108,23.4
2109,23.7
2110,15.1
2111,19.9
2112,22.0
2113,17.1
2114,17.5
2115,18.0
2116,17.7
2117,22.9
2118,22.4
2122,15.8
2123,19.2
2124,27.6
2125,24.8
2126,19.6
2128,25.1
2131,16.6
2132,17.7
2133,20.7
2135,15.8
2136,19.3
2138,20.3
2139,39.4
2140,22.7
2143,19.6
2144,16.6
2146,26.6
2147,18.8
2148,17.1
2150,17.5
2153,19.3
2155,20.1
2156,19.0
2157,17.3
2160,17.3
2161,18.9
2162,19.2
2163,17.9
2165,89.4
2167,20.6
2169,26.7
2170,18.1
2173,16.1
2175,0.0
2177,35.4
2178,20.4
2179,19.1
2182,16.5
2184,30.8
2185,12.8
2187,34.9
2192,26.4
2193,15.8
2194,17.8
2196,18.7
2198,21.9
2199,7.2
2200,15.3
2201,18.9
2202,13.1
2205,28.7
2206,12.5
2207,17.7
2208,16.4
2210,24.4
2213,14.6
2214,23.3
2215,5.8
2217,50.8
2219,24.9
2220,17.8
2221,38.2
2222,18.5
2223,39.8
2224,43.5
2225,19.6
2226,26.9
2230,27.9
2232,39.1
2236,12.8
2237,11.7
2238,27.1
2239,7.1
2240,17.9
2242,11.4
2243,21.2
2244,23.6
2245,20.9
2246,8.7
2249,9.9
2250,14.3
2251,26.2
2252,13.3
2253,10.3
2254,13.9
2256,28.1
2257,12.5
2258,12.1
2259,20.9
2260,23.5
2261,20.1
2262,20.4
2263,27.4
2264,10.3
2265,11.3
2266,14.2
2267,19.3
2268,17.6
2269,15.5
2270,13.3
2271,14.5
2272,10.5
2273,31.6
2274,74.9
2275,13.7
2276,18.6
2277,4.4
2280,16.6
2281,20.9
2282,12.8
2283,11.1
2284,14.9
2285,15.2
2286,11.4
2288,20.1
2289,13.8
2290,18.8
2291,18.2
2292,11.9
2293,26.3
2294,23.7
2295,18.2
2296,17.9
2297,21.1
2298,21.8
2299,20.9
2300,15.4
2301,17.6
2302,18.7
2303,15.9
2304,48.4
2305,17.6
2306,19.0
2307,36.0
2308,16.4
2309,20.3
2310,25.6
2311,18.6
2312,73.8
2313,19.9
2314,18.6
2315,16.2
2316,16.8
2317,20.7
2319,20.6
2320,18.4
2322,19.0
2323,48.0
2324,16.9
2325,17.1
2326,70.5
2327,20.6
2328,15.6
2329,14.5
2330,17.8
2331,17.7
2332,16.9
2333,21.9
2334,15.9
2335,22.0
2337,16.1
2338,23.3
2339,22.3
2340,16.4
2341,21.1
2343,20.6
2344,18.8
2345,32.7
2346,37.5
2347,15.7
2348,36.7
2349,20.1
2350,20.0
2351,17.6
2352,24.1
2353,20.1
2354,16.3
2355,23.9
2356,17.5
2357,17.9
2358,32.9
2359,20.2
2360,18.4
2361,16.5
2362,23.4
2363,22.9
2364,20.2
2365,18.6
2366,16.4
2367,15.4
2368,17.8
2369,18.5
2370,24.5
2371,19.5
2372,50.9
2373,19.2
2374,11.6
2376,20.5
2377,23.3
2378,23.9
2379,18.5
2380,13.2
2383,20.8
2384,29.6
2385,16.8
2386,19.0
2387,21.5
2388,13.2
2389,13.8
2390,30.4
2391,19.1
2392,16.3
2393,11.6
2394,21.1
2395,21.0
2396,18.4
2397,12.7
2398,20.1
2400,18.6
2401,12.9
2402,22.2
2403,46.4
2404,16.3
2405,22.2
2406,16.4
2407,17.1
2409,16.6
2410,32.8
2411,16.1
2412,14.9
2413,28.9
2414,21.5
2415,17.3
2416,13.1
2417,37.1
2418,11.1
2419,19.9
2420,29.9
2421,9.5
2422,21.9
2423,12.9
2424,16.2
2425,17.8
2426,22.1
2427,16.8
2428,23.2
2429,20.4
2430,4.4
2431,17.0
2432,26.0
2433,14.6
2434,24.9
2436,11.9
2438,23.0
