TAZ,vmt_per_capita_by_taz
13,3.5
14,70.1
15,31.6
16,53.9
17,34.0
18,37.1
19,33.5
20,34.2
21,33.8
22,68.2
23,55.6
25,75.2
27,82.5
28,71.8
29,82.4
30,29.0
31,33.8
32,38.0
33,30.5
34,23.4
35,30.0
36,35.9
37,32.9
38,17.2
39,23.5
40,29.0
41,30.7
42,39.8
44,22.0
45,16.2
46,18.1
47,37.0
48,13.8
49,14.2
50,15.4
51,12.0
52,21.0
53,23.1
54,31.2
55,35.8
56,39.6
57,50.8
58,15.2
59,23.4
61,12.5
62,14.3
63,18.0
64,27.5
65,18.4
66,19.7
67,12.2
68,19.8
69,14.4
70,11.4
71,17.3
72,30.0
73,18.5
74,19.7
75,13.6
76,4.0
77,12.6
78,7.2
79,19.4
80,15.1
81,34.1
82,31.3
83,13.0
84,13.0
85,12.5
86,13.8
87,15.4
88,15.4
89,15.9
90,15.4
91,32.3
92,17.8
93,39.2
94,33.9
95,20.2
96,17.3
97,20.6
98,39.0
99,16.4
100,16.1
101,69.3
102,18.2
103,15.5
104,16.8
105,20.8
106,23.8
107,22.6
108,26.2
109,30.8
110,34.9
111,18.7
112,22.9
113,24.5
114,35.0
115,50.6
116,22.7
117,22.6
118,37.6
119,31.1
120,70.0
121,26.8
122,20.1
124,25.3
125,24.6
128,37.3
129,30.4
130,37.1
131,48.3
132,31.8
133,29.5
134,61.6
135,23.3
136,23.1
137,32.5
138,30.1
139,24.8
140,31.9
141,20.4
143,24.1
144,28.1
145,32.7
147,26.9
150,29.8
151,40.6
152,43.4
153,38.3
154,57.8
158,34.4
159,37.1
161,63.1
162,41.3
163,13.8
164,27.4
166,38.9
167,43.1
168,66.2
169,35.6
170,37.8
171,41.3
172,29.7
173,26.7
174,28.3
175,39.8
176,29.4
177,42.0
178,29.4
179,34.1
180,29.8
181,36.5
182,28.4
183,50.8
184,30.7
185,41.7
186,45.7
187,33.6
188,34.0
189,37.3
190,46.9
191,36.3
192,30.2
193,60.5
195,26.8
196,39.3
197,33.8
198,27.7
199,34.7
200,28.8
201,26.5
202,36.9
203,28.3
205,47.3
206,38.8
207,46.3
208,29.7
209,31.8
210,32.0
211,80.7
212,36.1
213,30.7
214,24.6
215,43.6
216,42.1
217,26.1
218,27.1
219,35.4
220,23.0
221,49.0
222,34.9
223,35.6
224,36.0
225,38.9
226,38.5
227,39.4
228,35.3
229,31.1
231,41.5
232,38.3
233,22.0
234,40.8
235,32.2
236,33.8
237,42.9
238,27.1
239,18.6
240,23.5
241,28.7
242,23.3
243,43.0
244,42.9
245,38.0
246,41.7
247,34.6
249,23.1
250,56.8
251,28.2
252,22.4
253,31.0
254,13.6
255,35.5
256,18.1
257,32.4
258,36.0
259,31.3
260,19.5
261,28.0
262,45.0
263,21.1
264,45.4
265,19.2
266,16.0
267,41.5
268,22.3
269,16.4
270,8.9
271,31.8
272,20.6
273,34.0
274,36.3
275,18.6
276,19.8
277,38.6
278,37.9
279,18.0
280,20.2
281,43.2
282,34.1
283,35.5
284,15.1
285,32.3
288,31.7
289,35.0
290,43.6
291,29.8
293,11.8
294,34.0
295,24.3
296,18.3
297,16.2
298,25.5
299,34.3
300,21.5
301,30.9
302,19.7
304,69.1
305,22.2
307,19.0
308,57.1
309,16.2
310,18.6
311,16.1
312,16.8
313,16.0
314,35.7
315,22.1
317,30.6
318,39.2
319,40.9
320,18.8
321,17.7
322,20.0
323,30.9
324,33.1
325,29.0
326,35.7
327,31.8
328,16.1
329,32.2
330,17.9
331,30.6
332,34.5
333,16.7
334,18.7
335,16.4
336,14.0
337,47.9
339,16.7
340,16.4
341,16.6
342,18.2
343,16.4
344,18.4
345,19.4
346,16.8
347,54.9
348,21.1
349,17.7
350,17.9
352,15.1
353,17.0
354,20.6
355,56.5
357,30.8
358,39.1
359,18.7
360,17.9
362,22.0
363,31.6
364,19.0
365,17.2
366,4.0
367,14.4
368,18.1
369,16.7
370,24.1
371,34.7
372,12.2
373,13.7
374,14.5
375,13.2
376,15.4
377,16.5
379,29.7
380,16.3
381,17.8
382,17.6
383,36.6
384,15.2
385,15.8
386,17.7
387,39.5
389,20.1
390,13.8
391,36.0
392,14.8
393,32.8
