homeCity,vmt_per_capita_by_city
Carlsbad,18.9
Chula Vista,14.0
Coronado,14.3
Del Mar,20.7
El Cajon,13.1
Encinitas,18.6
Escondido,13.8
Imperial Beach,13.0
La Mesa,14.7
Lemon Grove,14.4
National City,9.7
Oceanside,15.8
Poway,20.2
San Diego,14.2
San Marcos,14.5
Santee,18.8
Solana Beach,20.4
Unincorporated,24.8
Vista,14.4
